frequency;user0 (gain);user1 (gain);user2 (gain);user3 (gain)
3000000.0;-24.273037277763937;-36.16871133623946;4.48076549638856;7.414908562086966
3000690.855062474;-24.258450547841342;-36.15594819464361;4.480724632523123;7.416773014279143
3001381.86921852;-24.24384613323617;-36.14316779573389;4.480683781600644;7.418637880897078
3002073.042504776;-24.229223990479877;-36.130370092720355;4.4806429436139785;7.420503158626507
3002764.374957887;-24.21458407593387;-36.117555038653094;4.480602118554577;7.422368844164645
3003455.866614505;-24.199926345798445;-36.10472258639697;4.480561306414303;7.424234934184222
3004147.517511295;-24.18525075607373;-36.091872688625564;4.48052050718584;7.426101425365993
3004839.327684925;-24.170557262617688;-36.079005297837796;4.480479720861318;7.427968314358787
3005531.297172076;-24.155845821098495;-36.066120366350766;4.480438947432896;7.429835597819375
3006223.426009434;-24.141116387029054;-36.053217846305046;4.48039818689222;7.431703272383769
3006915.714233696;-24.126368915733583;-36.04029768964304;4.480357439231978;7.433571334677484
3007608.161881567;-24.11160336235513;-36.02735984812982;4.4803167044442995;7.4354397813303885
3008300.768989758;-24.096819681897152;-36.01440427335116;4.480275982520879;7.437308608933137
3008993.535594992;-24.08201782913592;-36.00143091669608;4.4802352734541095;7.439177814106045
3009686.461733998;-24.067197758702665;-35.98843972936558;4.480194577236415;7.441047393426505
3010379.547443514;-24.0523594250514;-35.97543066237985;4.4801538938597;7.442917343468748
3011072.792760287;-24.03750278244513;-35.96240366656198;4.480113223316406;7.444787660800443
3011766.197721072;-24.022627784975086;-35.94935869255919;4.480072565597949;7.446658341986145
3012459.762362634;-24.00773438653283;-35.93629569080291;4.480031920697489;7.448529383572586
3013153.486721743;-23.992822540864847;-35.92321461155345;4.479991288606726;7.4504007820818785
3013847.37083518;-23.9778922015066;-35.91011540487844;4.479950669317316;7.4522725340545275
3014541.414739735;-23.96294332180481;-35.89699802062972;4.479910062822454;7.454144636002451
3015235.618472205;-23.947975854945142;-35.88386240848958;4.479869469113558;7.45601708443088
3015929.982069396;-23.932989753916033;-35.87070851792981;4.479828888183074;7.4578898758307135
3016624.505568123;-23.91798497152013;-35.85753629822945;4.479788320023173;7.45976300668614
3017319.189005208;-23.902961460358068;-35.844345698465915;4.479747764626297;7.461636473481551
3018014.032417483;-23.887919172886622;-35.83113666753232;4.479707221983896;7.463510272661803
3018709.035841787;-23.872858061317718;-35.81790915410057;4.479666692088896;7.465384400693952
3019404.19931497;-23.8577780777184;-35.80466310666014;4.47962617493299;7.467258854008751
3020099.522873887;-23.842679173938237;-35.791398473491284;4.479585670508402;7.469133629044652
3020795.006555405;-23.82756130163497;-35.77811520266506;4.479545178807787;7.471008722222314
3021490.650396396;-23.81242441229255;-35.76481324206311;4.479504699822857;7.472884129947706
3022186.454433744;-23.797268457189364;-35.751492539355226;4.479464233545828;7.474759848620032
3022882.41870434;-23.78209338739389;-35.738153041994806;4.479423779969634;7.476635874631286
