run_id,analysis,s4_pos,l_rack_uH,l2_adjustment,r_pin_V,defeat_V,status,source,data_file,notes
defeat-3p900,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,3.9,final,ngspice 46 from KiCad export,data/response-defeat-3p900.csv,Full curve retained
defeat-3p900-op,op,1,17.2,C19=36p,12,3.9,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-3p500,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,3.5,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-3p500-op,op,1,17.2,C19=36p,12,3.5,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-3p000,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,3,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-3p000-op,op,1,17.2,C19=36p,12,3,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-2p500,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,2.5,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-2p500-op,op,1,17.2,C19=36p,12,2.5,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-2p000,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,2,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-2p000-op,op,1,17.2,C19=36p,12,2,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-1p750,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,1.75,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-1p750-op,op,1,17.2,C19=36p,12,1.75,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-1p500,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,1.5,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-1p500-op,op,1,17.2,C19=36p,12,1.5,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-1p250,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,1.25,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-1p250-op,op,1,17.2,C19=36p,12,1.25,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-1p000,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,1,final,ngspice 46 from KiCad export,data/response-defeat-1p000.csv,Full curve retained
defeat-1p000-op,op,1,17.2,C19=36p,12,1,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-0p875,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,0.875,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-0p875-op,op,1,17.2,C19=36p,12,0.875,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-0p750,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,0.75,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-0p750-op,op,1,17.2,C19=36p,12,0.75,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-0p625,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,0.625,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-0p625-op,op,1,17.2,C19=36p,12,0.625,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-0p500,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,0.5,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-0p500-op,op,1,17.2,C19=36p,12,0.5,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-0p375,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,0.375,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-0p375-op,op,1,17.2,C19=36p,12,0.375,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-0p250,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,0.25,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-0p250-op,op,1,17.2,C19=36p,12,0.25,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-0p125,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,0.125,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,Summary row only
defeat-0p125-op,op,1,17.2,C19=36p,12,0.125,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
defeat-0p000,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,0,final,ngspice 46 from KiCad export,data/response-defeat-0p000.csv,Full curve retained
defeat-0p000-op,op,1,17.2,C19=36p,12,0,final,ngspice 46 from KiCad export,data/defeat-sweep.csv,DC bias for the same state
