run_id,analysis,s4_pos,l_rack_uH,l2_adjustment,out_load_ohm,coil_qref,status,source,data_file,notes
mixer-input-impedance,"ac 1-30 MHz, 581 linear points",n/a,n/a,n/a,n/a,n/a,final,ngspice 46 from a standalone 80287_tx_rx_mixer.kicad_sch export,data/mixer-input-impedance.csv,"Impedance looking into the 80287 Rx In pin, which is what loads OUT"
3p5-load1Meg-q70,"ac, 20000/decade",1,17.2,C19=36p,1Meg,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load1Meg-q50,"ac, 20000/decade",1,17.2,C19=36p,1Meg,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load1Meg-q30,"ac, 20000/decade",1,17.2,C19=36p,1Meg,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load1Meg-q20,"ac, 20000/decade",1,17.2,C19=36p,1Meg,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load1Meg-q10,"ac, 20000/decade",1,17.2,C19=36p,1Meg,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load100k-q70,"ac, 20000/decade",1,17.2,C19=36p,100k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load100k-q50,"ac, 20000/decade",1,17.2,C19=36p,100k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load100k-q30,"ac, 20000/decade",1,17.2,C19=36p,100k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load100k-q20,"ac, 20000/decade",1,17.2,C19=36p,100k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load100k-q10,"ac, 20000/decade",1,17.2,C19=36p,100k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load22k-q70,"ac, 20000/decade",1,17.2,C19=36p,22k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load22k-q50,"ac, 20000/decade",1,17.2,C19=36p,22k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load22k-q30,"ac, 20000/decade",1,17.2,C19=36p,22k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load22k-q20,"ac, 20000/decade",1,17.2,C19=36p,22k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load22k-q10,"ac, 20000/decade",1,17.2,C19=36p,22k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load10k-q70,"ac, 20000/decade",1,17.2,C19=36p,10k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load10k-q50,"ac, 20000/decade",1,17.2,C19=36p,10k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load10k-q30,"ac, 20000/decade",1,17.2,C19=36p,10k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load10k-q20,"ac, 20000/decade",1,17.2,C19=36p,10k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load10k-q10,"ac, 20000/decade",1,17.2,C19=36p,10k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load4.7k-q70,"ac, 20000/decade",1,17.2,C19=36p,4.7k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load4.7k-q50,"ac, 20000/decade",1,17.2,C19=36p,4.7k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load4.7k-q30,"ac, 20000/decade",1,17.2,C19=36p,4.7k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load4.7k-q20,"ac, 20000/decade",1,17.2,C19=36p,4.7k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load4.7k-q10,"ac, 20000/decade",1,17.2,C19=36p,4.7k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load2.2k-q70,"ac, 20000/decade",1,17.2,C19=36p,2.2k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load2.2k-q50,"ac, 20000/decade",1,17.2,C19=36p,2.2k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load2.2k-q30,"ac, 20000/decade",1,17.2,C19=36p,2.2k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load2.2k-q20,"ac, 20000/decade",1,17.2,C19=36p,2.2k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load2.2k-q10,"ac, 20000/decade",1,17.2,C19=36p,2.2k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load1k-q70,"ac, 20000/decade",1,17.2,C19=36p,1k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load1k-q50,"ac, 20000/decade",1,17.2,C19=36p,1k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load1k-q30,"ac, 20000/decade",1,17.2,C19=36p,1k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load1k-q20,"ac, 20000/decade",1,17.2,C19=36p,1k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load1k-q10,"ac, 20000/decade",1,17.2,C19=36p,1k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load470-q70,"ac, 20000/decade",1,17.2,C19=36p,470,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load470-q50,"ac, 20000/decade",1,17.2,C19=36p,470,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load470-q30,"ac, 20000/decade",1,17.2,C19=36p,470,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load470-q20,"ac, 20000/decade",1,17.2,C19=36p,470,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
3p5-load470-q10,"ac, 20000/decade",1,17.2,C19=36p,470,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load1Meg-q70,"ac, 20000/decade",4,2.06,C15=16.94p,1Meg,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load1Meg-q50,"ac, 20000/decade",4,2.06,C15=16.94p,1Meg,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load1Meg-q30,"ac, 20000/decade",4,2.06,C15=16.94p,1Meg,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load1Meg-q20,"ac, 20000/decade",4,2.06,C15=16.94p,1Meg,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load1Meg-q10,"ac, 20000/decade",4,2.06,C15=16.94p,1Meg,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load100k-q70,"ac, 20000/decade",4,2.06,C15=16.94p,100k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load100k-q50,"ac, 20000/decade",4,2.06,C15=16.94p,100k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load100k-q30,"ac, 20000/decade",4,2.06,C15=16.94p,100k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load100k-q20,"ac, 20000/decade",4,2.06,C15=16.94p,100k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load100k-q10,"ac, 20000/decade",4,2.06,C15=16.94p,100k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load22k-q70,"ac, 20000/decade",4,2.06,C15=16.94p,22k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load22k-q50,"ac, 20000/decade",4,2.06,C15=16.94p,22k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load22k-q30,"ac, 20000/decade",4,2.06,C15=16.94p,22k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load22k-q20,"ac, 20000/decade",4,2.06,C15=16.94p,22k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load22k-q10,"ac, 20000/decade",4,2.06,C15=16.94p,22k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load10k-q70,"ac, 20000/decade",4,2.06,C15=16.94p,10k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load10k-q50,"ac, 20000/decade",4,2.06,C15=16.94p,10k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load10k-q30,"ac, 20000/decade",4,2.06,C15=16.94p,10k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load10k-q20,"ac, 20000/decade",4,2.06,C15=16.94p,10k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load10k-q10,"ac, 20000/decade",4,2.06,C15=16.94p,10k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load4.7k-q70,"ac, 20000/decade",4,2.06,C15=16.94p,4.7k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load4.7k-q50,"ac, 20000/decade",4,2.06,C15=16.94p,4.7k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load4.7k-q30,"ac, 20000/decade",4,2.06,C15=16.94p,4.7k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load4.7k-q20,"ac, 20000/decade",4,2.06,C15=16.94p,4.7k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load4.7k-q10,"ac, 20000/decade",4,2.06,C15=16.94p,4.7k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load2.2k-q70,"ac, 20000/decade",4,2.06,C15=16.94p,2.2k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load2.2k-q50,"ac, 20000/decade",4,2.06,C15=16.94p,2.2k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load2.2k-q30,"ac, 20000/decade",4,2.06,C15=16.94p,2.2k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load2.2k-q20,"ac, 20000/decade",4,2.06,C15=16.94p,2.2k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load2.2k-q10,"ac, 20000/decade",4,2.06,C15=16.94p,2.2k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load1k-q70,"ac, 20000/decade",4,2.06,C15=16.94p,1k,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load1k-q50,"ac, 20000/decade",4,2.06,C15=16.94p,1k,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load1k-q30,"ac, 20000/decade",4,2.06,C15=16.94p,1k,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load1k-q20,"ac, 20000/decade",4,2.06,C15=16.94p,1k,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load1k-q10,"ac, 20000/decade",4,2.06,C15=16.94p,1k,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load470-q70,"ac, 20000/decade",4,2.06,C15=16.94p,470,70,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load470-q50,"ac, 20000/decade",4,2.06,C15=16.94p,470,50,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load470-q30,"ac, 20000/decade",4,2.06,C15=16.94p,470,30,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load470-q20,"ac, 20000/decade",4,2.06,C15=16.94p,470,20,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
21p2-load470-q10,"ac, 20000/decade",4,2.06,C15=16.94p,470,10,final,ngspice 46 from KiCad export,data/loading-map.csv,QREF applied to both XL66-1 and XL66-2
