frequency;user0 (gain);user3 (gain);
1.38e+07;-0.938884;22.8182;
1.38318e+07;-0.423627;23.3578;
1.38637e+07;0.121548;23.9274;
1.38957e+07;0.698123;24.5283;
1.39277e+07;1.3069;25.1614;
1.39598e+07;1.94739;25.8262;
1.3992e+07;2.61679;26.5199;
1.40242e+07;3.30838;27.2357;
1.40566e+07;4.0091;27.9607;
1.4089e+07;4.69621;28.672;
1.41214e+07;5.33376;29.3337;
1.4154e+07;5.87079;29.8949;
1.41866e+07;6.2456;30.2939;
1.42193e+07;6.40018;30.4726;
1.42521e+07;6.30207;30.3986;
1.4285e+07;5.95972;30.0803;
1.43179e+07;5.41833;29.563;
1.43509e+07;4.73976;28.9085;
1.4384e+07;3.98257;28.1753;
1.44171e+07;3.19182;27.4085;
1.44504e+07;2.39785;26.6386;
1.44837e+07;1.61913;25.8838;
1.45171e+07;0.865854;25.1545;
1.45505e+07;0.142954;24.4555;
1.45841e+07;-0.547842;23.7886;
