frequency;user0 (gain);user3 (gain);
2.08e+07;51.2042;25.4093;
2.0808e+07;51.5103;25.5685;
2.0816e+07;51.8216;25.7306;
2.0824e+07;52.1385;25.8958;
2.0832e+07;52.4612;26.0641;
2.08399e+07;52.7897;26.2358;
2.08479e+07;53.1244;26.4109;
2.0856e+07;53.4654;26.5895;
2.0864e+07;53.813;26.7718;
2.0872e+07;54.1674;26.9579;
2.088e+07;54.5288;27.148;
2.0888e+07;54.8976;27.3423;
2.0896e+07;55.274;27.5408;
2.0904e+07;55.6583;27.7439;
2.09121e+07;56.0509;27.9516;
2.09201e+07;56.4519;28.1642;
2.09281e+07;56.8618;28.3819;
2.09361e+07;57.281;28.6049;
2.09442e+07;57.7098;28.8334;
2.09522e+07;58.1485;29.0678;
2.09603e+07;58.5976;29.3081;
2.09683e+07;59.0575;29.5547;
2.09764e+07;59.5287;29.8078;
2.09844e+07;60.0114;30.0678;
2.09925e+07;60.5063;30.3348;
2.10005e+07;61.0137;30.6091;
2.10086e+07;61.534;30.8909;
2.10166e+07;62.0675;31.1805;
2.10247e+07;62.6146;31.4779;
2.10328e+07;63.1756;31.7831;
2.10409e+07;63.7504;32.0962;
2.10489e+07;64.3391;32.4168;
2.1057e+07;64.9412;32.7444;
2.10651e+07;65.556;33.0781;
2.10732e+07;66.1822;33.4166;
2.10813e+07;66.8179;33.7578;
2.10894e+07;67.4601;34.0988;
2.10975e+07;68.1048;34.4355;
2.11055e+07;68.7462;34.7624;
2.11137e+07;69.3767;35.072;
2.11218e+07;69.9866;35.3551;
2.11299e+07;70.5637;35.5999;
2.1138e+07;71.0937;35.7931;
2.11461e+07;71.561;35.9201;
2.11542e+07;71.9503;35.9669;
2.11623e+07;72.2481;35.9221;
2.11704e+07;72.4455;35.7789;
2.11786e+07;72.5395;35.5372;
2.11867e+07;72.5333;35.204;
2.11948e+07;72.4361;34.7924;
2.1203e+07;72.2603;34.32;
2.12111e+07;72.0201;33.8064;
2.12192e+07;71.7293;33.2713;
2.12274e+07;71.3999;32.733;
2.12355e+07;71.042;32.2077;
2.12437e+07;70.6635;31.7084;
2.12518e+07;70.2701;31.245;
2.126e+07;69.8659;30.8242;
2.12682e+07;69.4538;30.4494;
2.12763e+07;69.0357;30.1212;
2.12845e+07;68.6127;29.8376;
2.12927e+07;68.1857;29.5946;
2.13008e+07;67.7551;29.3872;
2.1309e+07;67.3213;29.2096;
2.13172e+07;66.8846;29.0559;
2.13254e+07;66.4453;28.9207;
2.13336e+07;66.0036;28.7988;
2.13417e+07;65.56;28.686;
2.13499e+07;65.1149;28.5788;
2.13581e+07;64.6687;28.4744;
2.13663e+07;64.222;28.3705;
2.13745e+07;63.7752;28.2655;
2.13827e+07;63.329;28.1584;
2.13909e+07;62.8839;28.0484;
2.13992e+07;62.4403;27.9351;
2.14074e+07;61.9988;27.8182;
2.14156e+07;61.5599;27.6977;
2.14238e+07;61.124;27.5739;
2.1432e+07;60.6915;27.4467;
2.14403e+07;60.2628;27.3166;
2.14485e+07;59.8381;27.1838;
2.14567e+07;59.4178;27.0486;
2.1465e+07;59.002;26.9113;
2.14732e+07;58.591;26.7724;
2.14814e+07;58.185;26.6319;
2.14897e+07;57.784;26.4904;
2.14979e+07;57.3882;26.3479;
2.15062e+07;56.9976;26.2048;
2.15144e+07;56.6123;26.0614;
2.15227e+07;56.2322;25.9177;
2.1531e+07;55.8575;25.774;
2.15392e+07;55.4881;25.6305;
2.15475e+07;55.124;25.4873;
2.15558e+07;54.7651;25.3446;
2.1564e+07;54.4114;25.2024;
2.15723e+07;54.0628;25.0609;
2.15806e+07;53.7193;24.9202;
2.15889e+07;53.3808;24.7804;
2.15972e+07;53.0473;24.6414;
2.16055e+07;52.7186;24.5035;
2.16137e+07;52.3946;24.3665;
