l_rack_uH,gain_at_3p5_db,input_gain_at_3p5_db,output_peak_hz,output_peak_db
14.5,17.34864675114301,9.624352035237102,3624275.929622613,21.552063545910656
15.0,18.172703210555916,9.411789478606751,3600155.460612568,21.277438058077955
15.4,18.81017888878607,9.240920679532785,3581964.313392601,21.06555040699206
15.5,18.96217382099506,9.198151413407325,3577019.063657681,21.013622566418316
16.0,19.641305923236736,8.984366890718576,3554031.352744248,20.75989892775833
16.5,20.103665465426552,8.771432612910694,3532004.552820223,20.515774941090154
17.0,20.240423882622608,8.560417452633976,3510114.268268952,20.280662537039387
17.2,20.18852620241616,8.476756839684104,3501234.947513591,20.189087013395532
17.5,19.996138799067598,8.352175409040798,3488359.653009882,20.054163709241966
18.0,19.406331265262047,8.147017037620522,3466739.866206213,19.835730911144516
18.5,18.573229277159157,7.94480669969893,3446047.462638162,19.624978458961312
19.0,17.608735836551848,7.745332901757009,3425478.568644509,19.421465658619415
19.4,16.800861829844504,7.5876622915167875,3409739.924250305,19.263612207719966
19.5,16.597927656975006,7.548510201925796,3405816.574984765,19.224802983698762
20.0,15.59314554103327,7.354369146178077,3385487.812583143,19.03473731502712
20.5,14.622093242218634,7.162989056731107,3366055.362905757,18.850846216463598
