supply_v,gain_at_3p5_db,peak_hz,peak_db,bandwidth_3db_hz,grid_step_hz
12.0,20.188525921179203,3501234.947513591,20.18908673210589,202240.33026877278,805.9107417180203
10.0,19.883078136504423,3501234.947513591,19.88363937994752,202232.55691014975,805.9107417180203
8.0,19.555849821006998,3501234.947513591,19.556411510657654,202224.53855818696,805.9107417180203
6.0,19.203663363313836,3501234.947513591,19.204225514197084,202216.25189925358,805.9107417180203
5.0,18.963985083089256,3501234.947513591,18.964569053710683,203257.36480622413,805.9107417180203
4.0,18.731454970493402,3501234.947513591,18.73204307664273,203416.89561405964,805.9107417180203
3.0,18.490864110655675,3501234.947513591,18.491452737496715,203397.9811996715,805.9107417180203
2.5,16.880069210497552,3502041.229476391,16.88108593103031,225136.9898118605,805.9107417180203
2.0,6.389929200745961,3506882.821917901,6.395057788562179,396435.39959554886,805.9107417180203
1.5,-1.8628330768700672,3510922.595006317,-1.8556701693684061,535184.8976865015,805.9107417180203
1.0,-9.779596566140416,3514157.763839888,-9.771906565817197,651918.6133477297,805.9107417180203
0.75,-14.148008353436627,3515776.465987513,-14.140404072661658,703978.3424804555,805.9107417180203
0.5,-19.389962019188534,3516586.096644198,-19.382590033051123,752543.4482740075,805.9107417180203
0.25,-27.07652916957711,3517395.913746695,-27.069501529870067,798027.3140844153,805.9107417180203
0.0,-58.675707876679624,3519016.107460881,-58.668156908603216,840635.4362528594,805.9107417180203
