run_id,analysis,s4_pos,l_rack_uH,l2_adjustment,r_pin_V,defeat_V,status,source,data_file,notes
bias-sweep,dc /R 0 to 12 V in 50 mV steps,1,17.2,C19=36p,0 to 12,3.9,final,ngspice 46 from KiCad export,data/bias-vs-supply.csv,V66-2 renamed VRFGAIN so ngspice accepts it on the .dc card
supply-12p00,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,12,3.9,final,ngspice 46 from KiCad export,data/response-supply-12p00.csv,Full curve retained
supply-10p00,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,10,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
supply-8p00,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,8,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
supply-6p00,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,6,3.9,final,ngspice 46 from KiCad export,data/response-supply-6p00.csv,Full curve retained
supply-5p00,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,5,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
supply-4p00,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,4,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
supply-3p00,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,3,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
supply-2p50,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,2.5,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
supply-2p00,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,2,3.9,final,ngspice 46 from KiCad export,data/response-supply-2p00.csv,Full curve retained
supply-1p50,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,1.5,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
supply-1p00,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,1,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
supply-0p75,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,0.75,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
supply-0p50,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,0.5,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
supply-0p25,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,0.25,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
supply-0p00,"ac 3.0-4.2 MHz, 10000/decade",1,17.2,C19=36p,0,3.9,final,ngspice 46 from KiCad export,data/gain-vs-supply.csv,Summary row only
