frequency_hz,ant_to_out_db
8000000,-30.9619
8000921,-30.9691
8001842,-30.9763
8002764,-30.9836
8003685,-30.9908
8004606,-30.9980
8005528,-31.0052
8006450,-31.0124
8007372,-31.0197
8008294,-31.0269
8009216,-31.0342
8010138,-31.0414
8011060,-31.0487
8011982,-31.0559
8012905,-31.0632
8013827,-31.0705
8014750,-31.0777
8015673,-31.0850
8016596,-31.0923
8017519,-31.0996
8018442,-31.1069
8019365,-31.1142
8020288,-31.1215
8021212,-31.1288
8022135,-31.1361
8023059,-31.1434
8023983,-31.1508
8024907,-31.1581
8025831,-31.1654
8026755,-31.1728
8027679,-31.1801
8028603,-31.1875
8029527,-31.1948
8030452,-31.2022
8031377,-31.2096
8032301,-31.2169
8033226,-31.2243
8034151,-31.2317
8035076,-31.2391
8036001,-31.2465
8036926,-31.2539
8037852,-31.2613
8038777,-31.2687
8039703,-31.2761
8040628,-31.2835
8041554,-31.2910
8042480,-31.2984
8043406,-31.3059
8044332,-31.3133
8045258,-31.3207
8046185,-31.3282
8047111,-31.3357
8048037,-31.3431
8048964,-31.3506
8049891,-31.3581
8050818,-31.3656
8051745,-31.3731
8052672,-31.3806
8053599,-31.3881
8054526,-31.3956
8055453,-31.4031
8056381,-31.4106
8057308,-31.4181
8058236,-31.4257
8059164,-31.4332
8060092,-31.4407
8061020,-31.4483
8061948,-31.4558
8062876,-31.4634
8063804,-31.4710
8064733,-31.4785
8065661,-31.4861
8066590,-31.4937
8067519,-31.5013
8068448,-31.5089
8069377,-31.5165
8070306,-31.5241
8071235,-31.5317
8072164,-31.5393
8073094,-31.5470
8074023,-31.5546
8074953,-31.5622
8075882,-31.5699
8076812,-31.5775
8077742,-31.5852
8078672,-31.5928
8079602,-31.6005
8080533,-31.6082
8081463,-31.6159
8082393,-31.6235
8083324,-31.6312
8084255,-31.6389
8085185,-31.6466
8086116,-31.6544
8087047,-31.6621
8087978,-31.6698
8088910,-31.6775
8089841,-31.6853
8090772,-31.6930
8091704,-31.7008
8092636,-31.7085
8093567,-31.7163
8094499,-31.7240
8095431,-31.7318
8096363,-31.7396
8097295,-31.7474
8098228,-31.7552
8099160,-31.7630
8100093,-31.7708
8101025,-31.7786
8101958,-31.7864
8102891,-31.7943
8103824,-31.8021
8104757,-31.8099
8105690,-31.8178
8106623,-31.8256
8107557,-31.8335
8108490,-31.8414
8109424,-31.8492
8110357,-31.8571
8111291,-31.8650
8112225,-31.8729
8113159,-31.8808
8114093,-31.8887
8115027,-31.8966
8115962,-31.9046
8116896,-31.9125
8117831,-31.9204
8118765,-31.9284
8119700,-31.9363
8120635,-31.9443
8121570,-31.9522
8122505,-31.9602
8123440,-31.9682
8124375,-31.9762
8125311,-31.9842
8126246,-31.9922
8127182,-32.0002
8128118,-32.0082
8129054,-32.0162
8129990,-32.0242
8130926,-32.0323
8131862,-32.0403
8132798,-32.0484
8133734,-32.0564
8134671,-32.0645
8135607,-32.0725
8136544,-32.0806
8137481,-32.0887
8138418,-32.0968
8139355,-32.1049
8140292,-32.1130
8141229,-32.1211
8142167,-32.1292
8143104,-32.1374
8144042,-32.1455
8144979,-32.1537
8145917,-32.1618
8146855,-32.1700
8147793,-32.1781
8148731,-32.1863
8149669,-32.1945
8150608,-32.2027
8151546,-32.2109
8152485,-32.2191
8153423,-32.2273
8154362,-32.2355
8155301,-32.2437
8156240,-32.2520
8157179,-32.2602
8158118,-32.2685
8159057,-32.2767
8159997,-32.2850
8160936,-32.2933
8161876,-32.3016
8162816,-32.3098
8163755,-32.3181
8164695,-32.3265
8165635,-32.3348
8166576,-32.3431
8167516,-32.3514
8168456,-32.3598
8169397,-32.3681
8170337,-32.3765
8171278,-32.3848
8172219,-32.3932
8173160,-32.4016
8174101,-32.4100
8175042,-32.4184
8175983,-32.4268
8176924,-32.4352
8177866,-32.4436
8178808,-32.4520
8179749,-32.4605
8180691,-32.4689
8181633,-32.4774
8182575,-32.4858
8183517,-32.4943
8184459,-32.5028
8185402,-32.5113
8186344,-32.5198
8187286,-32.5283
8188229,-32.5368
8189172,-32.5453
8190115,-32.5538
8191058,-32.5624
8192001,-32.5709
8192944,-32.5795
8193887,-32.5880
8194831,-32.5966
8195774,-32.6052
8196718,-32.6138
8197662,-32.6224
8198605,-32.6310
8199549,-32.6396
8200493,-32.6482
8201438,-32.6569
8202382,-32.6655
8203326,-32.6742
8204271,-32.6828
8205215,-32.6915
8206160,-32.7002
8207105,-32.7089
8208050,-32.7176
8208995,-32.7263
8209940,-32.7350
8210885,-32.7437
8211831,-32.7524
8212776,-32.7612
8213722,-32.7699
8214667,-32.7787
8215613,-32.7875
8216559,-32.7963
8217505,-32.8051
8218451,-32.8139
8219398,-32.8227
8220344,-32.8315
8221290,-32.8403
8222237,-32.8492
8223184,-32.8580
8224130,-32.8669
8225077,-32.8757
8226024,-32.8846
8226971,-32.8935
8227919,-32.9024
8228866,-32.9113
8229813,-32.9202
8230761,-32.9291
8231709,-32.9381
8232656,-32.9470
8233604,-32.9560
8234552,-32.9649
8235500,-32.9739
8236448,-32.9829
8237397,-32.9919
8238345,-33.0009
8239294,-33.0099
8240242,-33.0189
8241191,-33.0280
8242140,-33.0370
8243089,-33.0461
8244038,-33.0551
8244987,-33.0642
8245937,-33.0733
8246886,-33.0824
8247835,-33.0915
8248785,-33.1006
8249735,-33.1098
8250685,-33.1189
8251635,-33.1280
8252585,-33.1372
8253535,-33.1464
8254485,-33.1556
8255435,-33.1647
8256386,-33.1739
8257337,-33.1832
8258287,-33.1924
8259238,-33.2016
8260189,-33.2109
8261140,-33.2201
8262091,-33.2294
8263043,-33.2387
8263994,-33.2480
