frequency_hz,ant_to_out_db
8000000,-27.1543
8000921,-27.1582
8001842,-27.1621
8002764,-27.1660
8003685,-27.1699
8004606,-27.1738
8005528,-27.1777
8006450,-27.1816
8007372,-27.1855
8008294,-27.1894
8009216,-27.1933
8010138,-27.1972
8011060,-27.2011
8011982,-27.2050
8012905,-27.2089
8013827,-27.2128
8014750,-27.2167
8015673,-27.2206
8016596,-27.2245
8017519,-27.2284
8018442,-27.2323
8019365,-27.2362
8020288,-27.2401
8021212,-27.2440
8022135,-27.2479
8023059,-27.2518
8023983,-27.2557
8024907,-27.2596
8025831,-27.2635
8026755,-27.2674
8027679,-27.2713
8028603,-27.2752
8029527,-27.2791
8030452,-27.2830
8031377,-27.2869
8032301,-27.2908
8033226,-27.2947
8034151,-27.2985
8035076,-27.3024
8036001,-27.3063
8036926,-27.3102
8037852,-27.3141
8038777,-27.3180
8039703,-27.3219
8040628,-27.3258
8041554,-27.3297
8042480,-27.3336
8043406,-27.3375
8044332,-27.3414
8045258,-27.3452
8046185,-27.3491
8047111,-27.3530
8048037,-27.3569
8048964,-27.3608
8049891,-27.3647
8050818,-27.3686
8051745,-27.3725
8052672,-27.3764
8053599,-27.3802
8054526,-27.3841
8055453,-27.3880
8056381,-27.3919
8057308,-27.3958
8058236,-27.3997
8059164,-27.4036
8060092,-27.4075
8061020,-27.4113
8061948,-27.4152
8062876,-27.4191
8063804,-27.4230
8064733,-27.4269
8065661,-27.4308
8066590,-27.4346
8067519,-27.4385
8068448,-27.4424
8069377,-27.4463
8070306,-27.4502
8071235,-27.4541
8072164,-27.4579
8073094,-27.4618
8074023,-27.4657
8074953,-27.4696
8075882,-27.4735
8076812,-27.4773
8077742,-27.4812
8078672,-27.4851
8079602,-27.4890
8080533,-27.4929
8081463,-27.4967
8082393,-27.5006
8083324,-27.5045
8084255,-27.5084
8085185,-27.5123
8086116,-27.5161
8087047,-27.5200
8087978,-27.5239
8088910,-27.5278
8089841,-27.5316
8090772,-27.5355
8091704,-27.5394
8092636,-27.5433
8093567,-27.5471
8094499,-27.5510
8095431,-27.5549
8096363,-27.5588
8097295,-27.5626
8098228,-27.5665
8099160,-27.5704
8100093,-27.5743
8101025,-27.5781
8101958,-27.5820
8102891,-27.5859
8103824,-27.5898
8104757,-27.5936
8105690,-27.5975
8106623,-27.6014
8107557,-27.6053
8108490,-27.6091
8109424,-27.6130
8110357,-27.6169
8111291,-27.6207
8112225,-27.6246
8113159,-27.6285
8114093,-27.6323
8115027,-27.6362
8115962,-27.6401
8116896,-27.6440
8117831,-27.6478
8118765,-27.6517
8119700,-27.6556
8120635,-27.6594
8121570,-27.6633
8122505,-27.6672
8123440,-27.6710
8124375,-27.6749
8125311,-27.6788
8126246,-27.6826
8127182,-27.6865
8128118,-27.6904
8129054,-27.6942
8129990,-27.6981
8130926,-27.7020
8131862,-27.7058
8132798,-27.7097
8133734,-27.7135
8134671,-27.7174
8135607,-27.7213
8136544,-27.7251
8137481,-27.7290
8138418,-27.7329
8139355,-27.7367
8140292,-27.7406
8141229,-27.7444
8142167,-27.7483
8143104,-27.7522
8144042,-27.7560
8144979,-27.7599
8145917,-27.7638
8146855,-27.7676
8147793,-27.7715
8148731,-27.7753
8149669,-27.7792
8150608,-27.7830
8151546,-27.7869
8152485,-27.7908
8153423,-27.7946
8154362,-27.7985
8155301,-27.8023
8156240,-27.8062
8157179,-27.8101
8158118,-27.8139
8159057,-27.8178
8159997,-27.8216
8160936,-27.8255
8161876,-27.8293
8162816,-27.8332
8163755,-27.8370
8164695,-27.8409
8165635,-27.8448
8166576,-27.8486
8167516,-27.8525
8168456,-27.8563
8169397,-27.8602
8170337,-27.8640
8171278,-27.8679
8172219,-27.8717
8173160,-27.8756
8174101,-27.8794
8175042,-27.8833
8175983,-27.8871
8176924,-27.8910
8177866,-27.8948
8178808,-27.8987
8179749,-27.9025
8180691,-27.9064
8181633,-27.9102
8182575,-27.9141
8183517,-27.9179
8184459,-27.9218
8185402,-27.9256
8186344,-27.9295
8187286,-27.9333
8188229,-27.9372
8189172,-27.9410
8190115,-27.9449
8191058,-27.9487
8192001,-27.9526
8192944,-27.9564
8193887,-27.9603
8194831,-27.9641
8195774,-27.9680
8196718,-27.9718
8197662,-27.9757
8198605,-27.9795
8199549,-27.9834
8200493,-27.9872
8201438,-27.9910
8202382,-27.9949
8203326,-27.9987
8204271,-28.0026
8205215,-28.0064
8206160,-28.0103
8207105,-28.0141
8208050,-28.0179
8208995,-28.0218
8209940,-28.0256
8210885,-28.0295
8211831,-28.0333
8212776,-28.0372
8213722,-28.0410
8214667,-28.0448
8215613,-28.0487
8216559,-28.0525
8217505,-28.0564
8218451,-28.0602
8219398,-28.0640
8220344,-28.0679
8221290,-28.0717
8222237,-28.0756
8223184,-28.0794
8224130,-28.0832
8225077,-28.0871
8226024,-28.0909
8226971,-28.0947
8227919,-28.0986
8228866,-28.1024
8229813,-28.1063
8230761,-28.1101
8231709,-28.1139
8232656,-28.1178
8233604,-28.1216
8234552,-28.1254
8235500,-28.1293
8236448,-28.1331
8237397,-28.1369
8238345,-28.1408
8239294,-28.1446
8240242,-28.1484
8241191,-28.1523
8242140,-28.1561
8243089,-28.1599
8244038,-28.1638
8244987,-28.1676
8245937,-28.1714
8246886,-28.1753
8247835,-28.1791
8248785,-28.1829
8249735,-28.1868
8250685,-28.1906
8251635,-28.1944
8252585,-28.1983
8253535,-28.2021
8254485,-28.2059
8255435,-28.2097
8256386,-28.2136
8257337,-28.2174
8258287,-28.2212
8259238,-28.2251
8260189,-28.2289
8261140,-28.2327
