frequency_hz,ant_to_out_db
3000000,-10.6266
3000345,-10.6263
3000691,-10.6260
3001036,-10.6257
3001382,-10.6254
3001727,-10.6251
3002073,-10.6248
3002419,-10.6245
3002764,-10.6242
3003110,-10.6239
3003456,-10.6236
3003802,-10.6233
3004148,-10.6230
3004493,-10.6227
3004839,-10.6224
3005185,-10.6220
3005531,-10.6217
3005877,-10.6214
3006223,-10.6211
3006570,-10.6208
3006916,-10.6205
3007262,-10.6202
3007608,-10.6198
3007954,-10.6195
3008301,-10.6192
3008647,-10.6189
3008994,-10.6186
3009340,-10.6183
3009686,-10.6179
3010033,-10.6176
3010380,-10.6173
3010726,-10.6170
3011073,-10.6166
3011419,-10.6163
3011766,-10.6160
3012113,-10.6157
3012460,-10.6153
3012807,-10.6150
3013153,-10.6147
3013500,-10.6144
3013847,-10.6140
3014194,-10.6137
3014541,-10.6134
3014888,-10.6130
3015236,-10.6127
3015583,-10.6124
3015930,-10.6120
3016277,-10.6117
3016625,-10.6113
3016972,-10.6110
3017319,-10.6107
3017667,-10.6103
3018014,-10.6100
3018362,-10.6096
3018709,-10.6093
3019057,-10.6090
3019404,-10.6086
3019752,-10.6083
3020100,-10.6079
3020447,-10.6076
3020795,-10.6072
3021143,-10.6069
3021491,-10.6065
3021839,-10.6062
3022186,-10.6058
3022534,-10.6055
3022882,-10.6051
3023230,-10.6048
3023579,-10.6044
3023927,-10.6041
3024275,-10.6037
3024623,-10.6033
3024971,-10.6030
3025320,-10.6026
3025668,-10.6023
3026016,-10.6019
3026365,-10.6015
3026713,-10.6012
3027062,-10.6008
3027410,-10.6005
3027759,-10.6001
3028107,-10.5997
3028456,-10.5994
3028805,-10.5990
3029153,-10.5986
3029502,-10.5983
3029851,-10.5979
3030200,-10.5975
3030549,-10.5971
3030898,-10.5968
3031247,-10.5964
3031596,-10.5960
3031945,-10.5957
3032294,-10.5953
3032643,-10.5949
3032992,-10.5945
3033341,-10.5941
3033690,-10.5938
3034040,-10.5934
3034389,-10.5930
3034738,-10.5926
3035088,-10.5922
3035437,-10.5919
3035787,-10.5915
3036136,-10.5911
3036486,-10.5907
3036835,-10.5903
3037185,-10.5899
3037535,-10.5895
3037884,-10.5892
3038234,-10.5888
3038584,-10.5884
3038934,-10.5880
3039284,-10.5876
3039634,-10.5872
3039984,-10.5868
3040334,-10.5864
3040684,-10.5860
3041034,-10.5856
3041384,-10.5852
3041734,-10.5848
3042084,-10.5844
3042435,-10.5840
3042785,-10.5836
3043135,-10.5832
3043486,-10.5828
3043836,-10.5824
