frequency_hz,ant_to_out_db
3000000,-10.5826
3000345,-10.5823
3000691,-10.5820
3001036,-10.5817
3001382,-10.5814
3001727,-10.5811
3002073,-10.5808
3002419,-10.5805
3002764,-10.5802
3003110,-10.5799
3003456,-10.5796
3003802,-10.5793
3004148,-10.5790
3004493,-10.5787
3004839,-10.5784
3005185,-10.5780
3005531,-10.5777
3005877,-10.5774
3006223,-10.5771
3006570,-10.5768
3006916,-10.5765
3007262,-10.5762
3007608,-10.5758
3007954,-10.5755
3008301,-10.5752
3008647,-10.5749
3008994,-10.5746
3009340,-10.5742
3009686,-10.5739
3010033,-10.5736
3010380,-10.5733
3010726,-10.5730
3011073,-10.5726
3011419,-10.5723
3011766,-10.5720
3012113,-10.5716
3012460,-10.5713
3012807,-10.5710
3013153,-10.5707
3013500,-10.5703
3013847,-10.5700
3014194,-10.5697
3014541,-10.5693
3014888,-10.5690
3015236,-10.5687
3015583,-10.5683
3015930,-10.5680
3016277,-10.5676
3016625,-10.5673
3016972,-10.5670
3017319,-10.5666
3017667,-10.5663
3018014,-10.5659
3018362,-10.5656
3018709,-10.5653
3019057,-10.5649
3019404,-10.5646
3019752,-10.5642
3020100,-10.5639
3020447,-10.5635
3020795,-10.5632
3021143,-10.5628
3021491,-10.5625
3021839,-10.5621
3022186,-10.5618
3022534,-10.5614
3022882,-10.5611
3023230,-10.5607
3023579,-10.5603
3023927,-10.5600
3024275,-10.5596
3024623,-10.5593
3024971,-10.5589
3025320,-10.5586
3025668,-10.5582
3026016,-10.5578
3026365,-10.5575
3026713,-10.5571
3027062,-10.5567
3027410,-10.5564
3027759,-10.5560
3028107,-10.5556
3028456,-10.5553
3028805,-10.5549
3029153,-10.5545
3029502,-10.5542
3029851,-10.5538
3030200,-10.5534
3030549,-10.5531
3030898,-10.5527
3031247,-10.5523
3031596,-10.5519
3031945,-10.5516
3032294,-10.5512
3032643,-10.5508
3032992,-10.5504
3033341,-10.5500
3033690,-10.5497
3034040,-10.5493
3034389,-10.5489
3034738,-10.5485
3035088,-10.5481
3035437,-10.5478
3035787,-10.5474
3036136,-10.5470
3036486,-10.5466
3036835,-10.5462
3037185,-10.5458
3037535,-10.5454
3037884,-10.5450
3038234,-10.5446
