frequency_hz,ant_to_out_db
3000000,-10.7008
3000345,-10.7005
3000691,-10.7002
3001036,-10.6999
3001382,-10.6996
3001727,-10.6993
3002073,-10.6990
3002419,-10.6987
3002764,-10.6984
3003110,-10.6981
3003456,-10.6978
3003802,-10.6975
3004148,-10.6972
3004493,-10.6969
3004839,-10.6966
3005185,-10.6963
3005531,-10.6960
3005877,-10.6957
3006223,-10.6954
3006570,-10.6951
3006916,-10.6947
3007262,-10.6944
3007608,-10.6941
3007954,-10.6938
3008301,-10.6935
3008647,-10.6932
3008994,-10.6929
3009340,-10.6926
3009686,-10.6922
3010033,-10.6919
3010380,-10.6916
3010726,-10.6913
3011073,-10.6910
3011419,-10.6906
3011766,-10.6903
3012113,-10.6900
3012460,-10.6897
3012807,-10.6893
3013153,-10.6890
3013500,-10.6887
3013847,-10.6884
3014194,-10.6880
3014541,-10.6877
3014888,-10.6874
3015236,-10.6871
3015583,-10.6867
3015930,-10.6864
3016277,-10.6861
3016625,-10.6857
3016972,-10.6854
3017319,-10.6851
3017667,-10.6847
3018014,-10.6844
3018362,-10.6840
3018709,-10.6837
3019057,-10.6834
3019404,-10.6830
3019752,-10.6827
3020100,-10.6823
3020447,-10.6820
3020795,-10.6817
3021143,-10.6813
3021491,-10.6810
3021839,-10.6806
3022186,-10.6803
3022534,-10.6799
3022882,-10.6796
3023230,-10.6792
3023579,-10.6789
3023927,-10.6785
3024275,-10.6782
3024623,-10.6778
3024971,-10.6775
3025320,-10.6771
3025668,-10.6768
3026016,-10.6764
3026365,-10.6760
3026713,-10.6757
3027062,-10.6753
3027410,-10.6750
3027759,-10.6746
3028107,-10.6742
3028456,-10.6739
3028805,-10.6735
3029153,-10.6732
3029502,-10.6728
3029851,-10.6724
3030200,-10.6721
3030549,-10.6717
3030898,-10.6713
3031247,-10.6710
3031596,-10.6706
3031945,-10.6702
3032294,-10.6699
3032643,-10.6695
3032992,-10.6691
3033341,-10.6687
3033690,-10.6684
3034040,-10.6680
3034389,-10.6676
3034738,-10.6672
3035088,-10.6669
3035437,-10.6665
3035787,-10.6661
3036136,-10.6657
3036486,-10.6653
3036835,-10.6650
3037185,-10.6646
3037535,-10.6642
3037884,-10.6638
3038234,-10.6634
3038584,-10.6630
3038934,-10.6626
3039284,-10.6623
3039634,-10.6619
3039984,-10.6615
3040334,-10.6611
3040684,-10.6607
3041034,-10.6603
3041384,-10.6599
3041734,-10.6595
3042084,-10.6591
3042435,-10.6587
3042785,-10.6583
3043135,-10.6579
3043486,-10.6575
3043836,-10.6571
3044186,-10.6567
3044537,-10.6563
3044888,-10.6559
3045238,-10.6555
3045589,-10.6551
3045939,-10.6547
3046290,-10.6543
3046641,-10.6539
3046992,-10.6535
3047342,-10.6531
3047693,-10.6527
3048044,-10.6523
3048395,-10.6519
3048746,-10.6515
3049097,-10.6511
3049448,-10.6507
3049799,-10.6502
3050150,-10.6498
3050502,-10.6494
3050853,-10.6490
3051204,-10.6486
3051555,-10.6482
3051907,-10.6478
3052258,-10.6473
3052610,-10.6469
3052961,-10.6465
3053312,-10.6461
3053664,-10.6457
3054016,-10.6452
3054367,-10.6448
3054719,-10.6444
3055071,-10.6440
3055422,-10.6435
3055774,-10.6431
3056126,-10.6427
3056478,-10.6423
3056830,-10.6418
3057182,-10.6414
3057534,-10.6410
3057886,-10.6405
3058238,-10.6401
3058590,-10.6397
3058942,-10.6392
3059294,-10.6388
3059647,-10.6384
3059999,-10.6379
3060351,-10.6375
3060703,-10.6371
3061056,-10.6366
3061408,-10.6362
3061761,-10.6357
3062113,-10.6353
3062466,-10.6349
3062818,-10.6344
3063171,-10.6340
3063524,-10.6335
3063876,-10.6331
3064229,-10.6326
3064582,-10.6322
3064935,-10.6318
3065288,-10.6313
3065641,-10.6309
3065994,-10.6304
3066347,-10.6300
3066700,-10.6295
3067053,-10.6291
3067406,-10.6286
3067759,-10.6281
3068112,-10.6277
3068466,-10.6272
3068819,-10.6268
3069172,-10.6263
3069526,-10.6259
3069879,-10.6254
3070232,-10.6249
3070586,-10.6245
3070939,-10.6240
3071293,-10.6236
3071647,-10.6231
3072000,-10.6226
3072354,-10.6222
3072708,-10.6217
3073062,-10.6212
3073415,-10.6208
3073769,-10.6203
3074123,-10.6198
3074477,-10.6194
3074831,-10.6189
3075185,-10.6184
3075539,-10.6180
3075893,-10.6175
3076247,-10.6170
3076602,-10.6165
3076956,-10.6161
3077310,-10.6156
3077664,-10.6151
3078019,-10.6146
3078373,-10.6142
3078728,-10.6137
3079082,-10.6132
3079437,-10.6127
3079791,-10.6122
3080146,-10.6118
3080500,-10.6113
3080855,-10.6108
3081210,-10.6103
3081564,-10.6098
3081919,-10.6093
3082274,-10.6089
3082629,-10.6084
3082984,-10.6079
3083339,-10.6074
3083694,-10.6069
3084049,-10.6064
3084404,-10.6059
3084759,-10.6054
3085114,-10.6049
3085469,-10.6044
3085825,-10.6040
3086180,-10.6035
3086535,-10.6030
3086891,-10.6025
3087246,-10.6020
3087602,-10.6015
3087957,-10.6010
3088313,-10.6005
3088668,-10.6000
3089024,-10.5995
3089379,-10.5990
3089735,-10.5985
3090091,-10.5980
3090447,-10.5975
3090802,-10.5969
3091158,-10.5964
3091514,-10.5959
3091870,-10.5954
3092226,-10.5949
3092582,-10.5944
3092938,-10.5939
3093294,-10.5934
3093651,-10.5929
3094007,-10.5924
3094363,-10.5918
3094719,-10.5913
3095076,-10.5908
3095432,-10.5903
3095788,-10.5898
3096145,-10.5893
3096501,-10.5887
3096858,-10.5882
3097214,-10.5877
3097571,-10.5872
3097928,-10.5867
3098284,-10.5861
3098641,-10.5856
3098998,-10.5851
3099355,-10.5846
3099711,-10.5840
3100068,-10.5835
3100425,-10.5830
3100782,-10.5825
3101139,-10.5819
3101496,-10.5814
3101853,-10.5809
3102210,-10.5803
3102568,-10.5798
3102925,-10.5793
3103282,-10.5788
3103639,-10.5782
3103997,-10.5777
3104354,-10.5771
3104712,-10.5766
3105069,-10.5761
3105427,-10.5755
3105784,-10.5750
3106142,-10.5745
3106499,-10.5739
3106857,-10.5734
3107215,-10.5728
3107572,-10.5723
3107930,-10.5717
3108288,-10.5712
3108646,-10.5707
3109004,-10.5701
3109362,-10.5696
3109720,-10.5690
3110078,-10.5685
3110436,-10.5679
3110794,-10.5674
3111152,-10.5668
3111510,-10.5663
3111869,-10.5657
3112227,-10.5652
3112585,-10.5646
3112944,-10.5641
3113302,-10.5635
3113660,-10.5629
3114019,-10.5624
3114378,-10.5618
3114736,-10.5613
3115095,-10.5607
3115453,-10.5602
3115812,-10.5596
3116171,-10.5590
3116530,-10.5585
3116888,-10.5579
3117247,-10.5573
3117606,-10.5568
3117965,-10.5562
3118324,-10.5556
3118683,-10.5551
3119042,-10.5545
3119401,-10.5539
3119760,-10.5534
3120120,-10.5528
3120479,-10.5522
3120838,-10.5517
3121198,-10.5511
3121557,-10.5505
3121916,-10.5499
3122276,-10.5494
3122635,-10.5488
3122995,-10.5482
3123354,-10.5476
3123714,-10.5471
3124074,-10.5465
3124433,-10.5459
3124793,-10.5453
3125153,-10.5447
3125513,-10.5442
3125872,-10.5436
3126232,-10.5430
