frequency_hz,filt_input_v_per_v,filt_input_db,ic1_audio_input_v_per_v,ic1_audio_input_db,bias_reference_v_per_v,bias_reference_db,audio_opamp_v_per_v,audio_opamp_db,audio_terminal_v_per_v,audio_terminal_db,agc_opamp_v_per_v,agc_opamp_db
1.0,1.0,0.0,0.468943129,-6.577596461650952,0.412909887,-7.682894359065199,6.07314513,15.668273191708797,0.942411692,-0.515186689263757,1.18997773,1.5107766761092214
1.02329299,1.0,0.0,0.477027336,-6.429134660967424,0.420043367,-7.534117378874799,6.17665812,15.815071273292613,0.980244197,-0.1733144004651002,1.23487657,1.8324710118843943
1.04712855,1.0,0.0,0.485143725,-6.282591630939781,0.427205637,-7.387260508080501,6.28057447,15.959987389841267,1.01934803,0.1664497586937384,1.28132064,2.1531564396691287
1.07151931,1.0,0.0,0.493286816,-6.138009834076218,0.434391855,-7.242366530341738,6.38482732,16.102983122089714,1.05974863,0.50405727604698,1.32934635,2.472762949133756
1.0964782,1.0,0.0,0.501450971,-5.995430467829355,0.441597035,-7.0994770247556716,6.48934794,16.24402120785057,1.10147088,0.8394604006393368,1.37899,2.7912223364166926
1.12201845,1.0,0.0,0.509630399,-5.854893492410155,0.448816056,-6.958632299410765,6.594066,16.383065793638465,1.14453904,1.1726122192397495,1.4302878,3.1084686846287735
1.14815362,1.0,0.0,0.517819178,-5.716437380636412,0.456043679,-6.819871188807252,6.69890968,16.520082446575735,1.18897671,1.5034669524655417,1.48327576,3.42443798905155
1.17489755,1.0,0.0,0.526011268,-5.580099049327993,0.463274561,-6.68323093617648,6.80380596,16.655038386573928,1.23480676,1.8319799675886097,1.53798973,3.7390687090583006
1.20226443,1.0,0.0,0.534200534,-5.445913643659544,0.470503273,-6.548747022167208,6.90868079,16.787902538453704,1.28205125,2.1581077290431487,1.59446535,4.052301716893987
1.23026877,1.0,0.0,0.542380759,-5.313914509971189,0.477724314,-6.416453090710786,7.01345937,16.91864570802695,1.33073142,2.481808223211002,1.65273803,4.364080409096608
1.25892541,1.0,0.0,0.550545669,-5.184132989901178,0.484932129,-6.286380818198541,7.1180664,17.047240698979177,1.38086761,2.8030408561116085,1.71284292,4.674350737357998
1.28824955,1.0,0.0,0.558688952,-5.056598333415165,0.49212113,-6.158559748885831,7.2224263,17.173662377118397,1.43247921,3.121766552784382,1.77481494,4.9830615170978145
1.31825674,1.0,0.0,0.566804279,-4.931337595482603,0.499285713,-6.03301722101823,7.32646354,17.297887853852934,1.48558463,3.437947950058317,1.83868873,5.290164282583967
1.34896288,1.0,0.0,0.574885329,-4.808375487043755,0.506420279,-5.909778236691512,7.43010287,17.419896532449954,1.54020125,3.751549430418479,1.90449867,5.5956134741807
1.38038426,1.0,0.0,0.582925804,-4.687734392435216,0.513519251,-5.788865415380547,7.53326961,17.5396702156103,1.59634535,4.062537030702568,1.97227892,5.899366658869924
1.41253754,1.0,0.0,0.590919461,-4.5694341396269325,0.520577098,-5.670298838673411,7.63588994,17.65719320115037,1.65403214,4.37087888412541,2.04206337,6.201384302660235
1.44543977,1.0,0.0,0.598860126,-4.453492053048529,0.527588349,-5.554096075283694,7.73789117,17.772452345386508,1.71327567,4.6765449514005795,2.1138857,6.501630017031774
1.47910839,1.0,0.0,0.606741722,-4.339922803892391,0.53454762,-5.440271994996815,7.83920202,17.885437131370487,1.77408883,4.979507230015468,2.1877794,6.800070574501094
1.51356125,1.0,0.0,0.614558287,-4.228738414313607,0.541449625,-5.328838854723717,7.9397529,17.996139731573738,1.83648331,5.279739716432246,2.2637778,7.096675932924584
1.54881662,1.0,0.0,0.622303997,-4.119948191479816,0.548289203,-5.219806124595196,8.03947616,18.10455503409081,1.90046958,5.577218448591741,2.34191409,7.39141919027539
1.58489319,1.0,0.0,0.629973185,-4.013558720591163,0.55506133,-5.1131805606446985,8.13830636,18.21068068983207,1.96605687,5.871921520888476,2.4222214,7.684276734883846
1.6218101,1.0,0.0,0.637560364,-3.909573801848233,0.561761138,-5.008966161924386,8.23618051,18.314517127151657,2.03325318,6.163829204151668,2.50473281,7.975228094431897
1.65958691,1.0,0.0,0.64506024,-3.807994523481745,0.568383933,-4.907164142972416,8.33303833,18.416067589637304,2.10206522,6.452923731910076,2.58948145,8.264256085093358
1.69824365,1.0,0.0,0.652467735,-3.7088191926799823,0.57492521,-4.807772949576851,8.42882243,18.515338093027573,2.17249843,6.739189425382248,2.67650051,8.551346609462161
1.73780083,1.0,0.0,0.659777998,-3.6120434243892157,0.581380665,-4.710788313487161,8.52347853,18.612337430718583,2.24455698,7.022612696294763,2.76582334,8.836488743858112
1.77827941,1.0,0.0,0.666986424,-3.517660114529291,0.587746209,-4.616203268414034,8.61695566,18.707077164315034,2.31824372,7.303181839514934,2.85748353,9.119674717649234
1.81970086,1.0,0.0,0.674088664,-3.425659524681301,0.594017983,-4.524008144165688,8.70920633,18.799571591068037,2.39356025,7.580887277789951,2.95151494,9.400899717555507
1.86208714,1.0,0.0,0.681080637,-3.3360293291177157,0.600192361,-4.4341907279287405,8.80018665,18.889837670742914,2.47050682,7.855721142523514,3.04795182,9.68016195365627
1.90546072,1.0,0.0,0.687958541,-3.2487546642854643,0.606265965,-4.346736236408475,8.8898565,18.9778950129675,2.54908241,8.127677522486266,3.14682887,9.95746251739692
1.9498446,1.0,0.0,0.694718862,-3.163818192620492,0.612235672,-4.261627395413232,8.97817961,19.063765785740507,2.6292847,8.396752284657987,3.24818135,10.23280536892978
1.99526231,1.0,0.0,0.701358375,-3.0812002536708976,0.618098614,-4.178844605038651,9.06512367,19.147474665778294,2.71111004,8.662942906349047,3.35204514,10.506197167666652
2.04173794,1.0,0.0,0.707874157,-3.000878851238114,0.623852188,-4.098365948025627,9.15066038,19.229048742620588,2.79455349,8.926248535538827,3.45845682,10.77764715470894
2.08929613,1.0,0.0,0.714263581,-2.9228298639226686,0.629494056,-4.020167327280849,9.23476553,19.30851746424231,2.87960881,9.186669871867945,3.56745381,11.047167174951724
2.13796209,1.0,0.0,0.720524327,-2.8470270311148886,0.635022148,-3.944222546555949,9.31741897,19.385912491013087,2.96626842,9.444208962507188,3.67907441,11.31477143221699
2.18776162,1.0,0.0,0.726654372,-2.773442182422095,0.64043466,-3.870503446378473,9.3986047,19.46126767610235,3.05452345,9.698869272395484,3.79335792,11.580476444603567
2.23872114,1.0,0.0,0.732651995,-2.702045269522953,0.64573005,-3.798980051796072,9.47831078,19.53461888960216,3.14436369,9.950655451070574,3.9103447,11.844300849756586
2.29086765,1.0,0.0,0.738515771,-2.6328045179372994,0.650907042,-3.7296205981929713,9.55652937,19.60600397706583,3.23577764,10.199573392061701,4.03007632,12.106265414340848
2.34422882,1.0,0.0,0.744244566,-2.5656865522295247,0.655964614,-3.6623917600185307,9.63325663,19.675462600944567,3.32875243,10.44562992966969,4.15259557,12.366392726362763
2.39883292,1.0,0.0,0.749837531,-2.500656519732931,0.660901999,-3.597258690739185,9.70849271,19.743036176857334,3.42327387,10.68883290225437,4.27794663,12.624707243601813
2.45470892,1.0,0.0,0.755294096,-2.4376782018501784,0.665718673,-3.5341852236787634,9.78224163,19.80876772149348,3.51932644,10.929191045799499,4.40617507,12.881234978512149
2.51188643,1.0,0.0,0.76061396,-2.3767141597316823,0.670414353,-3.473133928069558,9.85451124,19.872701783806303,3.61689325,11.166713821236867,4.53732803,13.136003561820589
2.57039578,1.0,0.0,0.765797082,-2.3177258564945586,0.674988982,-3.414066323991507,9.92531307,19.934884288409027,3.71595606,11.40141139915351,4.67145421,13.389041924245833
2.63026799,1.0,0.0,0.770843672,-2.26067376898422,0.679442728,-3.356942904070193,9.99466229,19.995362486206677,3.81649527,11.633294569441157,4.80860401,13.640380285278003
2.6915348,1.0,0.0,0.775754178,-2.2055175349221017,0.683775966,-3.30172336523175,10.0625775,20.05418476479598,3.9184899,11.86237463402257,4.94882959,13.89004998793515
2.7542287,1.0,0.0,0.780529276,-2.1522160565974744,0.687989275,-3.2483666377497538,10.1290808,20.1114007105604,4.02191759,12.088663351196931,5.09218493,14.138083345901642
2.81838293,1.0,0.0,0.785169855,-2.100727652109767,0.692083421,-3.196831084956751,10.1941972,20.167060609467114,4.12675463,12.312172944279665,5.23872594,14.384513585072883
2.8840315,1.0,0.0,0.789677009,-2.0510101208273506,0.696059351,-3.1470745551206782,10.2579553,20.221216045100373,4.2329759,12.532915917428191,5.38851049,14.629374653001232
2.95120923,1.0,0.0,0.794052021,-2.003020891176612,0.699918176,-3.0990545651079833,10.3203862,20.273918987278606,4.34055494,12.750905152336538,5.54159847,14.872701094457238
3.01995172,1.0,0.0,0.79829635,-1.9567171284329856,0.703661167,-3.052728315048823,10.3815242,20.32522241331922,4.44946389,12.966153731345393,5.6980519,15.114528012779445
3.09029543,1.0,0.0,0.802411619,-1.9120558262968514,0.707289736,-3.008052884750205,10.441406,20.375179660926324,4.55967358,13.178675066100375,5.85793497,15.354890923808426
3.16227766,1.0,0.0,0.806399603,-1.8689938941354765,0.710805429,-2.964985275867697,10.500071,20.423844714358694,4.67115349,13.388482761147745,6.02131406,15.593825595024501
3.23593657,1.0,0.0,0.810262211,-1.827488304836177,0.714209912,-2.9234825368822848,10.5575611,20.471272070119934,4.78387179,13.595590636824248,6.18825786,15.831368042504778
3.31131121,1.0,0.0,0.814001479,-1.7874961203743245,0.71750496,-2.883501847470071,10.6139203,20.517516443707613,4.89779541,13.800012797628582,6.35883737,16.067554357150577
3.38844156,1.0,0.0,0.817619556,-1.7489745907303553,0.720692447,-2.8450005881828897,10.669195,20.562633055318493,5.01289003,14.001763548123712,6.53312598,16.30242065772342
3.4673685,1.0,0.0,0.821118687,-1.7118812818803564,0.723774336,-2.807936408286346,10.7234335,20.60667725817042,5.12912018,14.200857502076856,6.71119952,16.536003006535896
3.54813389,1.0,0.0,0.824501209,-1.6761740639030465,0.726752664,-2.7722673519108074,10.776686,20.649704580304533,5.24644928,14.39730957361907,6.89313629,16.768337307617053
