input_v_peak,input_1khz_vpp,audio_opamp_1khz_vpp,audio_terminal_1khz_vpp,audio_gain_v_per_v,audio_thd_percent,audio_terminal_min_v,audio_terminal_max_v,agc_opamp_1khz_vpp,agc_opamp_min_v,agc_opamp_max_v,d79_6_anode_min_v,d79_6_anode_max_v,agc_store_final_v,agc_store_peak_v,pin_bias_final_v,pin_bias_peak_v,pin_diode_branch_final_a
0.0,0.0,3.3232593448441787e-15,1.0654104733225717e-17,nan,nan,3.31743522e-11,3.31956684e-11,4.689800731210978e-15,6.86588468,6.86588468,1.41903366,1.41903366,1.06897417,1.06897417,0.037957076083599994,0.0379570761,8.483600002245905e-12
0.0001,0.00019999739443782568,0.0195271927270227,0.01952679902035366,97.63526707556217,0.010442843000285475,-0.00976301898,0.00976314163,0.061061698305427896,6.83535728,6.89641239,1.39986789,1.43964232,1.07059371533,1.07063866,0.0379616766571,0.0379618583,8.445699999977407e-12
0.0003,0.0005999921833963649,0.05858157792155962,0.05858039700165477,97.63526696306239,0.010444636389165627,-0.0292890565,0.0292894246,0.18318513074725407,6.77430247,6.95746785,1.36783157,1.48269703,1.0821855174600001,1.08242983,0.0379969550717,0.0379985942,8.57539999994661e-12
0.001,0.0019999739443765014,0.19527191960837428,0.19526798334638948,97.63526364702963,0.010449935900129792,-0.097630179,0.0976314097,0.6106174925122252,6.56061065,7.17116194,1.31099278,1.61448794,1.15739904301,1.15884225,0.038387709959399996,0.0384104231,1.0390199999953109e-11
0.003,0.00599993790382516,0.5858172737278832,0.5858054648189152,97.63525459912589,0.010456620646113425,-0.292892295,0.29289602,1.8318581640456804,5.95006336,7.78171591,1.25886399,1.91906524,1.41031985348,1.41577772,0.0575309737663,0.0596042518,1.8013559999988797e-10
0.005,0.00999985733862937,0.9763582014025808,0.9763385201655645,97.63524489434229,0.010464395442522352,-0.488148885,0.488155146,3.053085142294862,5.33951261,8.39227366,1.23340869,2.20608649,1.67009199697,1.67988107,0.21843448447499997,0.228417976,1.94936800000059e-09
0.01,0.019999740724841706,1.9527181787980747,1.9526788164812048,97.63520654324182,0.010488537547765768,-0.976289776,0.976302564,6.106176649708477,3.81310921,9.91869597,1.19505562,2.90245011,2.32535121669,2.34611015,0.619985850077,0.630983797,2.0832334919e-05
0.015,0.029999601335733497,2.9290741597082497,2.9290155219418494,97.63514818621954,0.010515186302945102,-1.46441529,1.46446772,9.159256469539239,2.28674765,11.4451275,1.16914822,3.58891992,2.9832053312799998,3.01499009,1.10638853765,1.13352063,0.00039298904814900003
0.02,0.03999948200142765,3.897203876616131,3.89714353431331,97.42985007091376,0.173740315157392,-1.94548185,1.94712416,10.98456937046211,1.98314557,11.8173203,1.14831115,3.78144101,3.16110551503,3.19504004,1.26137219659,1.29119746,0.000535904613083
0.03,0.05999927167170004,5.812564074170381,5.812503485402953,96.87623405176343,0.33108609023708224,-2.89840105,2.90293766,11.887692025927473,1.98314471,11.8174318,1.11408695,3.80625074,3.1703814422799996,3.20248654,1.2695722246699999,1.29796805,0.000543553095636
0.05,0.09999871941885753,9.613088816006814,9.612970559378274,96.13093662842928,0.35160032807654534,-4.77436797,4.80109805,12.299165356900488,1.98314346,11.8176524,1.05903634,3.82980292,3.17462741972,3.20662644,1.2733292873800002,1.30173428,0.0005470599157069999
0.075,0.14999802138662982,11.235517571816242,11.23531854105464,74.90311163568528,12.75413779634981,-4.89086522,4.92475711,12.415588552336393,1.98304814,11.817671,1.00555285,3.84909763,3.1762327507299997,3.20821672,1.27475053407,1.30314839,0.000548386887224
0.1,0.19999739755524937,11.733355896616558,11.733139726421769,58.66646201323937,19.58073034342417,-4.91259072,4.93802454,12.457668266107232,1.98313968,11.8176755,0.959663797,3.86060471,3.17697024478,3.20892623,1.2754027213099999,1.30377949,0.0005489958761920001
