time_s,filt_input,audio_opamp,audio_terminal,agc_opamp,d79_6_anode,agc_store,pin_bias,d79_1_feed
0.08,1.5934944e-08,6.67205764,-0.203988772,6.25073965,2.51702509,1.9606792,0.434663616,0.434366985
0.08002,0.00125332341,6.79324833,-0.0826841427,6.63048712,2.51866012,1.96147122,0.434788664,0.43449106
0.08004,0.0024868814,6.91581231,0.0398969782,7.01386476,2.51961709,1.96227241,0.434917172,0.434618567
0.08006,0.00368121978,7.03784509,0.161848949,7.39490916,2.51988565,1.96307009,0.435049195,0.434749561
0.08008,0.00481750312,7.15742212,0.281248512,7.76761083,2.51943988,1.96385154,0.435184679,0.434883989
0.0801,0.00587781156,7.2726576,0.396212655,8.12609182,2.51823093,1.96460435,0.435323489,0.435021719
0.08012,0.00684542341,7.38173418,0.504928305,8.46469845,2.51618275,1.96531666,0.435465412,0.435162537
0.08014,0.00770507883,7.48293162,0.605680924,8.77809045,2.51318356,1.96597734,0.435610152,0.435306151
0.08016,0.00844322056,7.57465396,0.696881554,9.06132525,2.50907028,1.96657622,0.43575734,0.435452193
0.08018,0.00904820766,7.65545464,0.777091875,9.30993589,2.5036006,1.96710431,0.435906537,0.43560023
0.0802,0.00951049912,7.72405936,0.845046897,9.52000153,2.4964011,1.96755408,0.436057244,0.435749764
0.08022,0.00982280433,7.77938617,0.899674911,9.68820921,2.48686561,1.96791975,0.436208914,0.435900253
0.08024,0.00998019804,7.82056253,0.940114392,9.81190612,2.47394346,1.96819793,0.436360968,0.436051124
0.08026,0.00998019807,7.84693906,0.965727591,9.88914124,2.45567358,1.96838863,0.436512821,0.436201794
0.08028,0.00982280442,7.85809981,0.976110591,9.91869597,2.42815852,1.96849756,0.436663909,0.436351704
0.0803,0.00951049927,7.8538688,0.971099678,9.90010386,2.38372545,1.96854005,0.436813753,0.436500375
0.08032,0.00904820786,7.83431279,0.95077392,9.83366067,2.31011716,1.96854284,0.436962028,0.436647486
