metric,value,unit
detector_calibration,172.44771668703578,FILT peak V per board-IN peak V
if_input_step,40.0,dB
full_rf_q79_3_g1_first_strong,0.11457511272696475,V p-p
full_rf_q79_3_g1_last_strong,0.11548554140061891,V p-p
full_rf_g1_reduction,-0.06874642944642809,dB
full_rf_pin_first_strong,2.8485880000007328e-11,A per branch
full_rf_pin_last_strong,3.827466600001008e-11,A per branch
precharged_full_rf_q79_3_g1,0.01281861041030139,V p-p
precharged_full_rf_audio,0.3917037608019065,V p-p
precharged_full_rf_pin_current,2.060408440432e-05,A per branch
precharged_full_rf_attenuation,19.093733324776956,dB relative to baseline full RF
envelope_weak_audio,0.03365695621110599,V p-p
envelope_strong_audio,0.5482490817124331,V p-p
envelope_output_step,24.238061504416937,dB
envelope_compression,15.761938495583063,dB removed from 40 dB input step
strong_attack_audio_peak,3.3651291908967114,V p-p
strong_attack_audio_overshoot,513.7956821351839,percent above regulated strong level
agc_store_weak,1.0744302030512989,V
agc_store_strong,2.336374313,V
pin_current_weak,8.488002211259484e-12,A per branch
pin_current_strong,2.2977134609444434e-05,A per branch
s_meter_current_weak,8.059207133031869e-10,A
s_meter_current_strong,0.0001015672290422222,A
attack_10_90,0.05901919684768822,s
release_90_10,1.9909218792517946,s
post_release_audio_overshoot,0.003526700490885659,percent
