time_s,q79_3_drain,c79_17_node,filt_loop,audio_terminal,pin_bias,agc_store
0.0011,3.40929262,3.37668119,0.0200927978,0.698286018,0.0394333298,1.09745575
0.0011008,3.40847544,3.37676579,0.0201727484,0.705805164,0.0394475664,1.0975052
0.0011016,3.40880889,3.3768501,0.0202523742,0.713324791,0.0394357653,1.09755466
0.0011024,3.40967882,3.37693456,0.0203321263,0.720844683,0.0394139188,1.09760412
0.0011032,3.41067248,3.37701928,0.0204121162,0.728364634,0.0394128356,1.09765358
0.001104,3.41048104,3.37710409,0.0204921637,0.735884445,0.0394340251,1.09770304
0.0011048,3.40967725,3.37718836,0.0205716521,0.74340392,0.0394478298,1.09775249
0.0011056,3.4100258,3.37727234,0.0206508142,0.75092285,0.0394355582,1.09780195
0.0011064,3.41088543,3.37735646,0.0207300973,0.758441018,0.0394138542,1.0978514
0.0011072,3.41186046,3.37744083,0.0208096013,0.765958215,0.0394133462,1.09790084
0.001108,3.41165757,3.37752527,0.0208891424,0.773474245,0.0394347194,1.09795028
0.0011088,3.41086627,3.37760916,0.0209681151,0.780988909,0.039448083,1.09799971
0.0011096,3.41122947,3.37769276,0.0210467614,0.788501994,0.0394353475,1.09804913
0.0011104,3.41207891,3.37777649,0.0211255187,0.796013283,0.0394138005,1.09809854
0.0011112,3.4130345,3.37786045,0.0212044788,0.803522571,0.039413869,1.09814793
0.001112,3.4128203,3.37794447,0.0212834634,0.81102966,0.0394354112,1.09819732
0.0011128,3.41204257,3.37802793,0.0213618729,0.818534355,0.0394483235,1.09824668
0.0011136,3.41242033,3.3781111,0.0214399553,0.826036447,0.0394351321,1.09829603
0.0011144,3.41325817,3.37819439,0.021518143,0.833535723,0.0394137562,1.09834536
0.0011152,3.41419459,3.3782779,0.0215965184,0.841031975,0.0394143997,1.09839468
0.001116,3.41396975,3.37836145,0.0216749001,0.848525008,0.0394360972,1.09844397
0.0011168,3.41320515,3.37844443,0.0217526974,0.856014628,0.0394485528,1.09849324
0.0011176,3.4135964,3.37852712,0.0218301679,0.863500623,0.0394349134,1.09854249
0.0011184,3.41442263,3.37860992,0.0219077344,0.870982778,0.0394137218,1.09859171
0.0011192,3.41533963,3.37869292,0.0219854689,0.878460886,0.0394149419,1.0986409
0.00112,3.41510387,3.37877594,0.0220631952,0.885934754,0.0394367813,1.09869007
0.0011208,3.41435306,3.37885839,0.0221403314,0.893404187,0.0394487705,1.09873921
0.0011216,3.41475807,3.37894055,0.0222171405,0.900868977,0.0394346911,1.09878832
0.0011224,3.41557163,3.37902281,0.0222940395,0.908328915,0.0394136982,1.0988374
0.0011232,3.41646901,3.37910526,0.0223710929,0.915783797,0.0394154918,1.09888644
0.001124,3.41622314,3.37918771,0.0224481218,0.923233427,0.0394374583,1.09893545
0.0011248,3.41548635,3.37926959,0.0225245517,0.930677615,0.0394489758,1.09898443
0.0011256,3.41590377,3.37935117,0.0226006557,0.938116155,0.0394344655,1.09903337
0.0011264,3.4167043,3.37943285,0.0226768412,0.945548833,0.0394136841,1.09908227
0.0011272,3.41758221,3.37951469,0.0227531614,0.952975445,0.039416052,1.09913113
0.001128,3.41732604,3.37959652,0.0228294406,0.960395801,0.0394381333,1.09917995
0.0011288,3.41660314,3.37967777,0.0229051159,0.967809705,0.0394491705,1.09922872
0.0011296,3.41703339,3.37975871,0.0229804642,0.975216953,0.0394342375,1.09927746
0.0011304,3.41782011,3.37983976,0.0230558867,0.982617338,0.0394136818,1.09932615
0.0011312,3.41867814,3.37992095,0.0231314301,0.990010659,0.0394166211,1.09937479
0.001132,3.41841242,3.38000212,0.0232069198,0.997396727,0.0394388006,1.09942339
0.0011328,3.41770413,3.38008269,0.0232817973,1.00477535,0.0394493522,1.09947193
0.0011336,3.41814606,3.38016297,0.0233563486,1.01214633,0.0394340063,1.09952043
0.0011344,3.41891824,3.38024333,0.0234309678,1.01950945,0.039413689,1.09956888
0.0011352,3.41975676,3.38032383,0.0235056887,1.02686452,0.0394171982,1.09961727
0.001136,3.41948148,3.38040427,0.0235803395,1.03421134,0.0394394647,1.09966561
0.0011368,3.41878748,3.38048413,0.0236543735,1.04154974,0.0394495239,1.09971389
0.0011376,3.41924129,3.38056368,0.0237280831,1.0488795,0.0394337735,1.09976212
0.0011384,3.41999866,3.38064333,0.0238018548,1.05620042,0.0394137087,1.09981029
0.0011392,3.42081757,3.38072309,0.0238757191,1.06351233,0.0394177853,1.0998584
0.00114,3.42053367,3.38080279,0.0239495062,1.07081503,0.0394401221,1.09990645
0.0011408,3.41985531,3.3808819,0.0240226753,1.07810836,0.0394496824,1.09995444
0.0011416,3.42031984,3.38096072,0.0240955268,1.08539212,0.0394335377,1.10000236
0.0011424,3.42106181,3.38103962,0.0241684375,1.09266611,0.0394137381,1.10005022
0.0011432,3.42186179,3.38111862,0.0242414262,1.09993015,0.0394183786,1.10009802
0.001144,3.42156884,3.38119756,0.0243143239,1.10718408,0.0394407737,1.10014575
0.0011448,3.42090547,3.3812759,0.0243866025,1.1144277,0.0394498309,1.10019341
0.0011456,3.42138079,3.38135395,0.0244585659,1.12166085,0.0394333011,1.100241
0.0011464,3.42210711,3.38143207,0.0245305787,1.12888332,0.0394137799,1.10028852
0.0011472,3.42288704,3.38151028,0.0246026581,1.13609493,0.0394189822,1.10033597
0.001148,3.4225861,3.38158842,0.0246746394,1.14329553,0.0394414203,1.10038335
0.0011488,3.4219389,3.38166596,0.0247459987,1.15048495,0.0394499668,1.10043066
0.0011496,3.42242411,3.38174321,0.0248170462,1.15766299,0.0394330623,1.10047789
0.0011504,3.42313349,3.38182052,0.0248881392,1.16482949,0.0394138324,1.10052504
0.0011512,3.42389394,3.38189791,0.0249592793,1.17198425,0.0394195916,1.10057212
0.001152,3.42358463,3.38197521,0.0250303016,1.17912711,0.039442059,1.10061911
0.0011528,3.42295213,3.38205189,0.025100695,1.18625789,0.0394500918,1.10066603
0.0011536,3.42344674,3.38212829,0.0251707724,1.19337641,0.0394328229,1.10071287
0.0011544,3.42413877,3.38220473,0.0252408766,1.20048246,0.0394138963,1.10075963
0.0011552,3.42487831,3.38228122,0.0253110031,1.20757587,0.0394202104,1.1008063
0.001156,3.42456109,3.38235759,0.0253809962,1.21465646,0.0394426934,1.10085289
0.0011568,3.42394442,3.38243335,0.0254503488,1.22172403,0.0394502055,1.10089939
0.0011576,3.42444737,3.38250881,0.0255193808,1.22877841,0.0394325825,1.10094581
0.0011584,3.42512086,3.38258432,0.0255884327,1.2358194,0.0394139722,1.10099214
0.0011592,3.42584112,3.38265985,0.0256574889,1.24284681,0.039420835,1.10103838
0.00116,3.42551596,3.38273524,0.02572639,1.24986046,0.0394433182,1.10108453
0.0011608,3.42491431,3.38281001,0.0257946438,1.25686016,0.0394503072,1.10113058
0.0011616,3.42542511,3.38288448,0.0258625767,1.26384572,0.0394323415,1.10117655
0.0011624,3.42608049,3.38295898,0.0259305126,1.27081694,0.0394140589,1.10122242
0.0011632,3.42678008,3.38303348,0.02599843,1.27777362,0.0394214676,1.10126819
0.001164,3.42644705,3.38310783,0.0260661772,1.28471558,0.0394439388,1.10131387
0.0011648,3.42586137,3.38318155,0.0261332692,1.29164264,0.0394503987,1.10135945
0.0011656,3.42638002,3.38325496,0.0262000362,1.29855458,0.0394321007,1.10140494
0.0011664,3.42701555,3.38332839,0.0262668004,1.30545123,0.0394141585,1.10145032
0.0011672,3.42769581,3.38340181,0.0263335341,1.3123324,0.039422107,1.1014956
0.001168,3.42735637,3.38347507,0.0264000851,1.31919789,0.0394445495,1.10154078
0.0011688,3.42678627,3.38354769,0.0264659777,1.32604754,0.0394504776,1.10158585
0.0011696,3.42731152,3.38362002,0.0265315501,1.33288115,0.0394318595,1.10163082
0.0011704,3.42792808,3.38369234,0.0265971086,1.33969851,0.0394142687,1.10167568
0.0011712,3.42858844,3.38376464,0.0266626162,1.34649946,0.0394227522,1.10172043
0.001172,3.42824151,3.38383677,0.0267279301,1.35328381,0.0394451549,1.10176508
0.0011728,3.4276874,3.38390825,0.0267925809,1.36005137,0.0394505472,1.10180961
0.0011736,3.42821975,3.38397943,0.0268569069,1.36680195,0.0394316192,1.10185404
0.0011744,3.42881568,3.38405061,0.0269212108,1.37353536,0.0394143924,1.10189835
0.0011752,3.42945618,3.38412174,0.0269854536,1.38025143,0.039423405,1.10194255
0.001176,3.42910369,3.38419269,0.0270494911,1.38694997,0.0394457513,1.10198663
0.0011768,3.42856607,3.384263,0.0271128653,1.39363082,0.0394506041,1.1020306
0.0011776,3.42910361,3.38433301,0.0271759221,1.40029379,0.0394313789,1.10207445
0.0011784,3.42967946,3.38440301,0.0272389488,1.40693869,0.0394145268,1.10211818
0.0011792,3.43030075,3.38447295,0.0273018955,1.41356534,0.0394240619,1.10216179
0.00118,3.42994164,3.38454269,0.0273646252,1.42017358,0.0394463399,1.10220528
