time_s,board_in,t79_2_secondary,q79_3_g1,q79_3_g2,q79_3_drain,q79_3_source
9.0000854e-05,5.75966487e-05,0.215396202,0.695616805,1.75578564,3.45714035,1.73538882
9.0001854e-05,6.2125315e-05,0.213205692,0.694959608,1.77637495,3.4570825,1.73538881
9.0002854e-05,6.64553288e-05,0.210332506,0.694128132,1.7968334,3.45702406,1.73538879
9.0003854e-05,7.05728444e-05,0.206785748,0.693125015,1.81709561,3.45696555,1.73538877
9.0004854e-05,7.44646955e-05,0.202576692,0.691953448,1.83709679,3.45690753,1.73538876
9.0005854e-05,7.81184376e-05,0.19771874,0.690617162,1.85677301,3.45685054,1.73538874
9.0006854e-05,8.15223873e-05,0.192227387,0.689120421,1.87606135,3.45679482,1.73538872
9.0007854e-05,8.46656603e-05,0.186120167,0.687468006,1.89490017,3.4567404,1.7353887
9.0008854e-05,8.75382055e-05,0.179416599,0.685665197,1.91322922,3.4566874,1.73538869
9.0009854e-05,9.01308376e-05,0.172138126,0.683717763,1.93098992,3.45663596,1.73538867
9.0010854e-05,9.24352665e-05,0.164308043,0.681631936,1.94812549,3.4565862,1.73538865
9.0011854e-05,9.44441235e-05,0.155951426,0.679414396,1.96458114,3.45653822,1.73538863
9.0012854e-05,9.61509849e-05,0.147095048,0.677072248,1.98030427,3.45649213,1.73538861
9.0013854e-05,9.7550393e-05,0.137767295,0.674612999,1.99524461,3.45644805,1.73538859
9.0014854e-05,9.8637873e-05,0.127998074,0.672044533,2.0093544,3.45640605,1.73538857
9.0015854e-05,9.94099475e-05,0.117818715,0.669375088,2.02258853,3.45636624,1.73538855
9.0016854e-05,9.98641478e-05,0.107261871,0.666613227,2.03490469,3.45632868,1.73538853
9.0017854e-05,9.99990215e-05,0.0963614115,0.66376781,2.04626352,3.45629345,1.73538851
9.0018854e-05,9.98141373e-05,0.0851523141,0.660847967,2.05662868,3.45626061,1.73538849
9.0019854e-05,9.93100864e-05,0.0736705487,0.657863068,2.06596706,3.45623021,1.73538846
9.0020854e-05,9.84884806e-05,0.0619529621,0.654822691,2.07424879,3.45620231,1.73538844
9.0021854e-05,9.7351947e-05,0.0500371588,0.651736595,2.0814474,3.45617694,1.73538842
9.0022854e-05,9.59041199e-05,0.0379613784,0.648614681,2.08753988,3.45615412,1.73538839
9.0023854e-05,9.41496288e-05,0.0257643719,0.645466968,2.09250674,3.45613387,1.73538837
9.0024854e-05,9.20940839e-05,0.0134852757,0.642303556,2.09633212,3.45611621,1.73538834
9.0025854e-05,8.9744058e-05,0.00116348514,0.639134594,2.09900377,3.45610114,1.73538832
9.0026854e-05,8.71070656e-05,-0.0111614736,0.635970248,2.10051316,3.45608865,1.73538829
9.0027854e-05,8.41915388e-05,-0.0234500712,0.632820665,2.10085546,3.45607873,1.73538827
9.0028854e-05,8.10068003e-05,-0.0356629034,0.629695945,2.10002959,3.45607136,1.73538824
9.0029854e-05,7.75630336e-05,-0.0477608181,0.626606105,2.09803817,3.45606649,1.73538821
9.0030854e-05,7.38712506e-05,-0.0597050423,0.623561047,2.09488757,3.45606411,1.73538819
9.0031854e-05,6.99432561e-05,-0.0714573067,0.620570528,2.09058787,3.45606415,1.73538816
9.0032854e-05,6.57916104e-05,-0.0829799694,0.617644125,2.08515281,3.45606657,1.73538813
9.0033854e-05,6.14295887e-05,-0.0942361371,0.614791209,2.07859977,3.45607131,1.7353881
9.0034854e-05,5.68711392e-05,-0.105189783,0.61202091,2.07094969,3.45607829,1.73538807
9.0035854e-05,5.2130838e-05,-0.115805864,0.609342089,2.06222704,3.45608746,1.73538804
9.0036854e-05,4.72238426e-05,-0.126050431,0.606763314,2.05245969,3.45609871,1.73538801
9.0037854e-05,4.21658439e-05,-0.135890739,0.604292826,2.04167888,3.45611198,1.73538798
9.0038854e-05,3.69730152e-05,-0.145295351,0.601938517,2.02991906,3.45612716,1.73538795
9.0039854e-05,3.16619612e-05,-0.154234238,0.599707904,2.01721783,3.45614416,1.73538792
9.0040854e-05,2.62496646e-05,-0.162678875,0.597608104,2.0036158,3.45616289,1.73538788
9.0041854e-05,2.07534318e-05,-0.170602331,0.595645811,1.98915646,3.45618323,1.73538785
9.0042854e-05,1.51908377e-05,-0.177979354,0.59382728,1.97388601,3.45620507,1.73538782
9.0043854e-05,9.57966913e-06,-0.184786453,0.592158299,1.95785329,3.4562283,1.73538779
9.0044854e-05,3.93786855e-06,-0.191001966,0.590644178,1.94110955,3.4562528,1.73538775
9.0045854e-05,-1.7165238e-06,-0.196606136,0.589289727,1.92370831,3.45627845,1.73538772
9.0046854e-05,-7.36542737e-06,-0.201581166,0.588099247,1.90570521,3.45630513,1.73538769
9.0047854e-05,-1.29907792e-05,-0.205911278,0.587076509,1.88715779,3.45633271,1.73538765
9.0048854e-05,-1.85745915e-05,-0.20958276,0.586224751,1.86812536,3.45636105,1.73538762
9.0049854e-05,-2.40990096e-05,-0.212584009,0.585546659,1.84866876,3.45639002,1.73538758
9.0050854e-05,-2.95463684e-05,-0.214905567,0.585044367,1.82885019,3.4564195,1.73538755
9.0051854e-05,-3.48992495e-05,-0.216540147,0.584719446,1.808733,3.45644934,1.73538752
9.0052854e-05,-4.01405364e-05,-0.217482658,0.5845729,1.78838151,3.45647941,1.73538748
9.0053854e-05,-4.52534695e-05,-0.217730216,0.584605164,1.76786078,3.45650958,1.73538745
9.0054854e-05,-5.02216996e-05,-0.217282155,0.584816103,1.74723642,3.45653971,1.73538741
