frequency_hz,amplitude_v_peak,db_relative_to_peak
0,2.36235e-18,-317.2663
250,0.000243435,-37.0055
500,0.000191054,-39.1100
750,0.000141855,-41.6963
1000,0.0172448,0.0000
1250,0.000103946,-44.3970
1500,9.19063e-05,-45.4662
1750,8.34948e-05,-46.3000
2000,0.000324026,-34.5215
2250,5.81499e-05,-49.4422
2500,5.08805e-05,-50.6021
2750,4.53531e-05,-51.6010
3000,1.79164e-05,-59.6681
3250,3.59499e-05,-53.6192
3500,3.34903e-05,-54.2348
3750,3.05062e-05,-55.0454
4000,3.04808e-05,-55.0526
4250,2.96578e-05,-55.2904
4500,2.78207e-05,-55.8458
4750,2.61651e-05,-56.3787
5000,2.56769e-05,-56.5423
5250,2.34649e-05,-57.3248
5500,2.23036e-05,-57.7657
5750,2.16503e-05,-58.0239
6000,1.99814e-05,-58.7207
6250,1.92705e-05,-59.0353
6500,1.89042e-05,-59.2020
6750,1.85453e-05,-59.3685
7000,1.56411e-05,-60.8478
7250,1.76569e-05,-59.7949
7500,1.69457e-05,-60.1520
7750,1.62928e-05,-60.4932
8000,1.55053e-05,-60.9235
8250,1.53086e-05,-61.0345
8500,1.47779e-05,-61.3409
8750,1.4249e-05,-61.6575
9000,1.31784e-05,-62.3359
9250,1.33944e-05,-62.1947
9500,1.31871e-05,-62.3301
9750,1.28228e-05,-62.5735
10000,1.25695e-05,-62.7468
