time_s,r_line_v,t_line_v,q79_6_base_v,agc_store_v,pin_bias_v,pin_current_a_per_branch,meter_current_a,d79_4_anode_v,d79_4_cathode_v
0.0,12.1,0.2,0.0472222267,1.06897417,0.037957076,8.400000001129727e-12,7.32454827e-10,0.0401877445,7.32454827e-07
5e-05,12.1,0.2,0.0472227177,1.06971289,0.0379570888,8.599999996861119e-12,8.16001064e-10,0.0405244538,8.16001064e-07
0.0001,12.1,0.2,0.0472228737,1.07209875,0.0379571312,8.600000003800013e-12,8.72777789e-10,0.0416304286,8.72777789e-07
0.00015,12.1,0.2,0.0472228212,1.07464944,0.0379571819,8.599999996861119e-12,9.01504735e-10,0.0428315505,9.01504735e-07
0.0002,12.1,0.2,0.0472226535,1.07673453,0.037957231,8.600000003800013e-12,9.062243319999999e-10,0.0438273969,9.06224332e-07
0.00025,12.1,0.2,0.0472224293,1.07801107,0.0379572712,8.500000002464869e-12,8.899845039999999e-10,0.0444435975,8.89984504e-07
0.0003,12.1,0.2,0.0472222426,1.0784052,0.0379572992,8.500000002464869e-12,8.66179715e-10,0.044635403,8.66179715e-07
0.00035,12.1,0.2,0.0472222226,1.07840179,0.0379573216,8.500000002464869e-12,8.629077360000001e-10,0.044633864,8.62907736e-07
0.0004,12.1,0.2,0.0472222226,1.07838491,0.0379573439,8.500000002464869e-12,8.62655008e-10,0.0446256865,8.62655008e-07
0.00045,12.1,0.2,0.0472222226,1.078368,0.0379573662,8.500000002464869e-12,8.62398794e-10,0.0446174978,8.62398794e-07
0.0005,12.1,0.2,0.0472222226,1.07835109,0.0379573885,8.600000003800013e-12,8.621461709999999e-10,0.044609307,8.62146171e-07
0.00055,12.1,0.2,0.0472222226,1.07833419,0.0379574107,8.500000002464869e-12,8.61891304e-10,0.0446011183,8.61891304e-07
0.0006,12.1,0.2,0.0472222226,1.07831729,0.0379574329,8.499999995525975e-12,8.61639056e-10,0.0445929344,8.61639056e-07
0.00065,12.1,0.2,0.0472222226,1.07830041,0.037957455,8.500000002464869e-12,8.61385727e-10,0.0445847592,8.61385727e-07
0.0007,12.1,0.2,0.0472222227,1.07828365,0.0379574771,8.499999995525975e-12,8.61152139e-10,0.0445766439,8.61152139e-07
0.00075,12.1,0.2,0.0472222232,1.07826816,0.0379574992,8.500000002464869e-12,8.61000214e-10,0.0445691407,8.61000214e-07
