r79_20_position,board_input_uv_peak,meter_voltage_v,meter_current_a,agc_store_v,pin_bias_v,pin_current_a_per_branch
0.05,0.5,7.62690642876e-07,7.626906428759999e-10,1.0712909127799999,0.0379774779225,8.456300000132808e-12
0.05,1,8.69422751819e-07,8.69422751819e-10,1.07879569905,0.038083359323699995,8.564499999946796e-12
0.05,2,1.41183866457e-06,1.41183866457e-09,1.10683454763,0.0385703512539,9.097099999730293e-12
0.05,5,1.4938346597699998e-05,1.4938346597699997e-08,1.2417725844199998,0.0446157476848,1.9297500000001188e-11
0.05,10,0.0026828464603099998,2.6828464603099996e-06,1.54012041891,0.18449338557099998,6.431900000002656e-10
0.05,20,0.039874118079,3.9874118079e-05,2.0895135550799995,0.50554165152,1.7757624230000019e-06
0.05,50,0.0543907755747,5.4390775574699996e-05,2.2652466504900004,0.589412161451,1.1867886703e-05
0.05,100,0.0602011761674,6.02011761674e-05,2.3349125099,0.626217408985,2.3000117787e-05
0.05,200,0.0656553322384,6.565533223840001e-05,2.4002793204299997,0.663803697965,3.9551180472e-05
0.25,0.5,7.627344161250001e-07,7.627344161250001e-10,1.0712909127799999,0.03797747790080001,8.459200000116018e-12
0.25,1,8.69476945972e-07,8.69476945972e-10,1.07879569907,0.0380833593022,8.565099999975622e-12
0.25,2,1.41196212228e-06,1.4119621222800002e-09,1.1068345476399999,0.0385703512298,9.095099999897882e-12
0.25,5,1.4949029248200001e-05,1.4949029248200003e-08,1.2417725843999998,0.0446157474827,1.9298399999943817e-11
0.25,10,0.0029068257615300006,2.9068257615300004e-06,1.5401203123300002,0.184481319592,6.429929999998973e-10
0.25,20,0.0482648265743,4.82648265743e-05,2.08975513739,0.505456139915,1.772036733999998e-06
0.25,50,0.06618634972609999,6.618634972609999e-05,2.26570025541,0.5893918798090001,1.1863136834999999e-05
0.25,100,0.0733573217023,7.33573217023e-05,2.3353822076200004,0.626197457481,2.2992693428e-05
0.25,200,0.0800896488594,8.008964885939999e-05,2.40075569574,0.663783820382,3.9541147739999996e-05
0.5,0.5,7.62789141903e-07,7.62789141903e-10,1.0712909127799999,0.0379774778734,8.456200000235557e-12
0.5,1,8.695447012119999e-07,8.69544701212e-10,1.07879569905,0.03808335927499999,8.563700000061015e-12
0.5,2,1.4121164858499999e-06,1.4121164858499999e-09,1.1068345476399999,0.038570351201799996,9.096499999833306e-12
0.5,5,1.4962414629e-05,1.4962414629e-08,1.2417725843899998,0.044615747231,1.929820000005911e-11
0.5,10,0.0032704681892999996,3.2704681892999996e-06,1.5401201482299998,0.184462490356,6.42720000000152e-10
0.5,20,0.0660538826352,6.60538826352e-05,2.0902590838100004,0.505276344282,1.764227531e-06
0.5,50,0.09142401935209998,9.142401935209998e-05,2.2666560690699997,0.589349114532,1.1853126261e-05
0.5,100,0.101567150959,0.000101567150959,2.33637377591,0.626155336099,2.2977024191e-05
0.5,200,0.11109232269500001,0.00011109232269500001,2.4017630625,0.6637418357869999,3.9519961144e-05
0.75,0.5,7.628438779180001e-07,7.628438779180001e-10,1.0712909127799999,0.037977477841700004,8.455100000262505e-12
0.75,1,8.696124704439999e-07,8.696124704439998e-10,1.07879569905,0.0380833592457,8.566300000130422e-12
0.75,2,1.41227089578e-06,1.41227089578e-09,1.1068345476199999,0.0385703511732,9.096899999852523e-12
0.75,5,1.49758357925e-05,1.4975835792499998e-08,1.2417725843799998,0.0446157469733,1.9297800000102338e-11
0.75,10,0.0037904971325199996,3.7904971325199996e-06,1.54011993076,0.18443711256300002,6.422880000001574e-10
0.75,20,0.107036488509,0.000107036488509,2.09138217128,0.504870853598,1.7467361470000003e-06
0.75,50,0.150517335244,0.00015051733524399998,2.26881857357,0.589251621473,1.1830329006999999e-05
0.75,100,0.16786208223800003,0.00016786208223800003,2.33862294677,0.6260586740999999,2.2941091096e-05
0.75,200,0.184157088957,0.000184157088957,2.4040530189600005,0.663644552175,3.9470890585e-05
0.95,0.5,7.62887674262e-07,7.62887674262e-10,1.0712909127799999,0.0379774778281,8.456100000310551e-12
0.95,1,8.696666958970001e-07,8.69666695897e-10,1.07879569906,0.0380833592313,8.56610000014857e-12
0.95,2,1.41239445729e-06,1.4123944572900001e-09,1.1068345476199999,0.0385703511571,9.097799999885359e-12
0.95,5,1.4986598603400001e-05,1.4986598603400002e-08,1.2417725843799998,0.0446157467743,1.9295799999964615e-11
0.95,10,0.00442352063967,4.423520639670001e-06,1.54011969142,0.18440853252699999,6.4183399999998e-10
0.95,20,0.22660010179399998,0.00022660010179399997,2.09439754787,0.503754691918,1.6994442249999996e-06
0.95,50,0.328379519544,0.000328379519544,2.2747838936099996,0.588985478884,1.1768266723000001e-05
0.95,100,0.368681195329,0.00036868119532900003,2.3448493050300003,0.6257932128889999,2.2842590361e-05
0.95,200,0.406573554938,0.00040657355493800004,2.41041868169,0.663377282673,3.9336233746e-05
