metric,value,unit
saved_position_meter_at_1uv,0.0008695447012119999,uA
saved_position_meter_at_10uv,3.2704681892999994,uA
saved_position_meter_at_100uv,101.567150959,uA
meter_adjustment_min_at_100uv,60.2011761674,uA
meter_adjustment_max_at_100uv,368.68119532900005,uA
rx_agc_store_v,2.3363129358849997,V
tx_agc_store_v,0.08053899454284444,V
rx_q79_6_base_v,0.04722223332873499,V
tx_q79_6_base_v,0.7073631970853111,V
rx_pin_bias_v,0.6261217491098999,V
tx_pin_bias_v,0.2848062501794889,V
rx_pin_current_a_per_branch,2.2964531146700003e-05,A
tx_pin_current_a_per_branch,6.273597333333312e-09,A
rx_meter_current_a,0.0001015582906762,A
tx_meter_current_a,6.768816675819249e-15,A
meter_reduction_db,203.5240526137398,dB
agc_reset_90_percent_s,0.00016800000000000148,s
tx_d79_4_voltage_v,6.132438824545464e-07,V
isolation_test_s_meter_v,1.0,V
isolation_test_d79_4_anode_v,3.00698823e-06,V
isolation_test_d79_4_voltage_v,-0.99999699301177,V
isolation_test_agc_store_v,0.0805587045,V
isolation_test_pin_bias_v,5.95712815e-07,V
