state,device,pin,simulated_v,manual_v,allowed_error_v,error_v,error_percent,status
receive,U87-1,1,5.5935027690288965,3.5,0.525,2.0935027690288965,59.81436482939704,FAIL
receive,U87-1,2,4.773311456618395,2.7,0.405,2.073311456618395,76.7893132080887,FAIL
receive,U87-1,3,4.81104971108786,2.7,0.405,2.11104971108786,78.18702633658741,FAIL
receive,U87-1,4,5.64004062864651,3.4,0.51,2.24004062864651,65.88354790136793,FAIL
receive,U87-1,5,2.6857424510008783,1.2,0.18,1.4857424510008783,123.81187091673986,FAIL
receive,U87-1,6,11.117034652874437,11.8,1.77,-0.6829653471255632,-5.787841924792908,PASS
receive,U87-1,8,8.349994731047259,6.5,0.975,1.8499947310472589,28.46145740072706,FAIL
receive,U87-1,10,8.354458412988924,6.5,0.975,1.854458412988924,28.530129430598834,FAIL
receive,U87-1,12,11.117087020037163,11.8,1.77,-0.682912979962838,-5.787398135278287,PASS
receive,U87-1,14,0.0,0.0,0.15,0.0,nan,PASS
transmit,U87-1,1,0.33840983364777416,0.2,0.15,0.13840983364777415,69.20491682388707,PASS
transmit,U87-1,2,0.00561212625743028,0.0,0.15,0.00561212625743028,nan,PASS
transmit,U87-1,3,0.005612127308418305,0.0,0.15,0.005612127308418305,nan,PASS
transmit,U87-1,4,0.3383940390139534,0.2,0.15,0.13839403901395336,69.19701950697667,PASS
transmit,U87-1,5,0.6420009897397584,0.5,0.15,0.1420009897397584,28.40019794795168,PASS
transmit,U87-1,6,0.6578872387159509,0.7,0.15,-0.04211276128404906,-6.016108754864152,PASS
transmit,U87-1,8,0.49850222649269804,0.4,0.15,0.09850222649269802,24.625556623174507,PASS
transmit,U87-1,10,0.4979609627634092,0.4,0.15,0.09796096276340915,24.490240690852286,PASS
transmit,U87-1,12,0.6578902409738043,0.7,0.15,-0.042109759026195626,-6.01567986088509,PASS
transmit,U87-1,14,0.0,0.0,0.15,0.0,nan,PASS
transmit,U87-2,1,6.311304881333087,6.5,0.975,-0.1886951186669128,-2.9030018256448122,PASS
transmit,U87-2,2,5.480111241089688,5.8,0.87,-0.3198887589103121,-5.51532342948814,PASS
transmit,U87-2,3,5.509285385919201,5.8,0.87,-0.290714614080799,-5.01232093242757,PASS
transmit,U87-2,4,6.346460212274104,6.5,0.975,-0.15353978772589638,-2.362150580398406,PASS
transmit,U87-2,5,3.1704847792995925,3.0,0.44999999999999996,0.1704847792995925,5.682825976653082,PASS
transmit,U87-2,6,12.544621177681734,12.8,1.92,-0.25537882231826714,-1.995147049361462,PASS
transmit,U87-2,8,9.423194384326367,9.8,1.47,-0.3768056156736339,-3.844955261975856,PASS
transmit,U87-2,10,9.428444404475824,9.8,1.47,-0.3715555955241765,-3.791383627797719,PASS
transmit,U87-2,12,12.544457790753647,12.8,1.92,-0.25554220924635374,-1.9964235097371386,PASS
transmit,U87-2,14,0.0,0.0,0.15,0.0,nan,PASS
receive,U87-2,1,6.683289030061865,6.7,1.005,-0.016710969938134923,-0.2494174617632078,PASS
receive,U87-2,2,6.304072855528637,6.2,0.9299999999999999,0.10407285552863677,1.6785944440102702,PASS
receive,U87-2,3,6.304072259251014,6.2,0.9299999999999999,0.10407225925101393,1.678584826629257,PASS
receive,U87-2,4,6.683359718801862,6.7,1.005,-0.016640281198138318,-0.24836240594236295,PASS
receive,U87-2,5,0.20000162685574918,0.2,0.15,1.6268557491705415e-06,0.0008134278745852708,PASS
receive,U87-2,6,12.965868142478891,13.4,2.01,-0.43413185752110905,-3.2397899815008135,PASS
receive,U87-2,8,9.82451092103925,10.0,1.5,-0.17548907896074972,-1.7548907896074972,PASS
receive,U87-2,10,9.824562559163295,10.0,1.5,-0.17543744083670454,-1.7543744083670454,PASS
receive,U87-2,12,12.965868197583866,13.4,2.01,-0.43413180241613425,-3.2397895702696586,PASS
receive,U87-2,14,0.0,0.0,0.15,0.0,nan,PASS
