position,rf_3p499mhz_vpp,wanted_9p001mhz_vpp,vfo_12p5mhz_vpp,sum_15p999mhz_vpp
0.0,1.4045009737683297e-06,5.45604015545509e-07,8.53005079341659e-06,3.1249537043211805e-07
0.005,1.4593932108442666e-06,5.675741353575009e-07,6.985331446490098e-06,3.236521925375682e-07
0.01,1.5204786651293367e-06,5.9191312621419e-07,5.437427287960923e-06,3.3611186695574534e-07
0.015,1.5912618983637212e-06,6.189644926506305e-07,3.9042114895210696e-06,3.494264408156117e-07
0.02,1.6653135481443526e-06,6.491833137094868e-07,2.406032301754752e-06,3.640949311635053e-07
0.025,1.7494961868347222e-06,6.827515786412745e-07,9.066734710301489e-07,3.833391444813251e-07
0.03,1.893853148243834e-06,7.856991333943716e-07,9.365481453530808e-07,4.407995374804753e-07
0.035,1.944454614816629e-06,7.596432421398724e-07,2.500887267089563e-06,4.2522521301527137e-07
0.04,2.0560469728216732e-06,8.03602980912722e-07,4.0608835933328726e-06,4.4899725215949095e-07
0.045,2.1765290242611484e-06,8.509855847136863e-07,5.6390028203885325e-06,4.747961933861161e-07
0.05,2.3054896507713215e-06,9.016175254484528e-07,7.226325230433246e-06,5.025291365863929e-07
0.055,2.442387251644597e-06,9.553618159937095e-07,8.820110403621424e-06,5.320021393168924e-07
0.06,2.5864629293053137e-06,1.0119376779069188e-06,1.0419219114281601e-05,5.630477431282373e-07
0.065,2.7367606842084128e-06,1.0708820271350083e-06,1.2023118404040409e-05,5.955249733968347e-07
0.07,2.8922876932104135e-06,1.131852409192797e-06,1.3631311748090201e-05,6.29176873058373e-07
0.075,3.051919692806021e-06,1.1944117984082474e-06,1.5243430460669181e-05,6.637536084854488e-07
0.08,3.2144578322263427e-06,1.2580939945581518e-06,1.6859122391636406e-05,6.989888030955293e-07
0.085,3.3786554113719335e-06,1.3224140994014623e-06,1.8478023067010794e-05,7.346055932585023e-07
0.09,3.5432381040527777e-06,1.3868763521684511e-06,2.009973529812917e-05,7.703211530984096e-07
0.095,3.7069157865525995e-06,1.4509787148755757e-06,2.1723812986658458e-05,8.058493732859713e-07
0.1,3.868380605187204e-06,1.5142121120389596e-06,2.334974597515386e-05,8.409004606468123e-07
0.2,4.277785218593764e-06,1.6738997603209615e-06,5.3338469961293456e-05,9.292008068865478e-07
0.30000000000000004,1.6719021611552388e-06,6.488409696853601e-07,5.7620253896478224e-05,3.686153804491989e-07
0.4,1.5346474265172784e-07,7.519531199564276e-08,5.760222280963977e-05,3.8219246907625124e-08
0.5,1.2807997998800178e-06,5.017683697232526e-07,5.7593386225273364e-05,2.8932615087792415e-07
0.6000000000000001,1.9701938079198146e-06,7.690541986630277e-07,5.7590070499862515e-05,4.4303096985784547e-07
0.7000000000000001,2.4041987485494443e-06,9.375310486484582e-07,5.758939627823398e-05,5.398550036695712e-07
0.8,2.6918034969532883e-06,1.0492318244799774e-06,5.758997756571077e-05,6.040616920462485e-07
0.9,2.893482180456587e-06,1.1275858298118681e-06,5.759114920062054e-05,6.491171812017948e-07
1.0,3.0425116517400037e-06,1.1855007810532634e-06,5.759258299956499e-05,6.824334523082103e-07
