r89_27_position,r89_27_wiper_percent,load_ohm,test_point,s5_pos,pto_mhz,crystal_mhz,difference_mhz,wanted_mhz,crystal_source_mvpp,out_wanted_mvpp,out_crystal_mvpp,out_pto_mvpp,out_difference_mvpp,raw_wanted_mvpp,raw_crystal_mvpp,raw_pto_mvpp,raw_difference_mvpp,out_total_mvpp,out_wanted_to_largest_unwanted_db,raw_wanted_to_largest_unwanted_db
0,0,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.21299854,162.233482,4.14735213,1.82464219,16.6809774,435.839813,25.2119355,18.1555199,128.877476,182.368606,19.7583799,10.5829975
0,0,50,20 MHz center,2,5.51,14.49,8.98,20,3.10553011,79.5602268,5.64351987,1.11185133,8.68113212,163.540452,32.130035,10.2669194,67.0311471,91.9850108,19.2423929,7.74697087
0,0,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.91102742,84.4924348,10.1721919,1.13246588,10.9956334,121.281603,50.7202329,10.2495594,80.0519524,104.029443,17.7119515,3.60845999
0.05,5,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.17408484,145.468436,3.68088033,1.82003609,14.9867902,390.776713,22.4258026,18.0308724,115.768509,163.651432,19.7412028,10.5667647
0.05,5,50,20 MHz center,2,5.51,14.49,8.98,20,3.0699619,71.347695,4.99298006,1.10680602,7.79673209,146.656421,28.4774342,10.2019407,60.1969441,82.5182151,19.2293467,7.73453273
0.05,5,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.88059227,75.7249489,9.00579947,1.12439904,9.86845656,108.694295,44.9506024,10.1910624,71.8377428,92.9850377,17.6997951,3.59708144
0.1,10,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.14437185,131.247131,3.2941943,1.81687204,13.542432,352.556854,20.1058594,17.9336999,104.597593,147.76209,19.7278631,10.5541494
0.1,10,50,20 MHz center,2,5.51,14.49,8.98,20,3.04302363,64.3785958,4.46203024,1.10248372,7.04297811,132.329172,25.4832046,10.1496881,54.3731096,74.4804936,19.2197032,7.72542846
0.1,10,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.85740589,68.2860989,8.02528091,1.1178508,8.9083905,98.0146014,40.0895746,10.1415424,64.848188,83.9013088,17.6906611,3.58785865
0.15,15,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.12136199,118.983358,2.96562285,1.81484341,12.2919573,319.601789,18.1275682,17.8575869,94.9295005,134.076411,19.7173036,10.5441601
