r89_27_position,r89_27_wiper_percent,minimum_wanted_output_mvpp,maximum_crystal_feedthrough_mvpp,maximum_pto_feedthrough_mvpp,maximum_difference_product_mvpp,minimum_wanted_to_largest_unwanted_db,minimum_crystal_source_mvpp,maximum_crystal_source_mvpp
0,0,79.5602268,10.1721919,1.82464219,16.6809774,17.7119515,2.91102742,3.21299854
0.05,5,71.347695,9.00579947,1.82003609,14.9867902,17.6997951,2.88059227,3.17408484
0.1,10,64.3785958,8.02528091,1.81687204,13.542432,17.6906611,2.85740589,3.14437185
0.15,15,58.3658201,7.21933912,1.81484341,12.2919573,17.6832413,2.83966021,3.12136199
0.2,20,53.0807587,6.50639818,1.81365877,11.1940092,17.6770129,2.82582471,3.10331619
0.25,25,48.4058312,5.89782624,1.81306669,10.2174017,17.6718529,2.81461294,3.08901062
0.3,30,44.2150658,5.36309638,1.81292559,9.33792972,17.6681377,2.80591626,3.07756234
0.35,35,40.40139,4.87878181,1.81311736,8.53661725,17.6646985,2.79885715,3.06832532
0.4,40,36.886748,4.44000141,1.81360099,7.79805357,17.6623005,2.79321357,3.06082115
0.45,45,33.6158265,4.03008661,1.81427618,7.10932096,17.6592148,2.78820412,3.05469237
0.5,50,30.5324107,3.65568577,1.81519464,6.45972192,17.6575863,2.78446508,3.04966283
0.55,55,27.5900915,3.29306819,1.81625533,5.83932245,17.6563595,2.78139925,3.04552406
0.6,60,24.7493442,2.94699303,1.81752137,5.2394745,17.6563722,2.77891185,3.04211434
0.65,65,21.9661852,2.61309148,1.81898502,4.65167336,17.6545587,2.77670293,3.03930679
0.7,70,19.2011202,2.27844167,1.82064863,4.06729918,17.6531506,2.77487406,3.03700506
0.75,75,16.4136131,1.94341109,1.82254081,3.47726322,17.6524743,2.77336291,3.03513443
0.8,80,13.5486832,1.60448825,1.82471048,2.8714483,17.6565412,2.77270295,3.03363812
0.85,85,10.5594432,1.24604632,1.82724222,2.23794476,17.6541141,2.77154781,3.03248024
0.9,90,7.36953848,0.867568062,1.83024069,1.56202485,16.6124722,2.77065674,3.03163881
0.95,95,3.90925577,0.4568621,1.83385953,0.824615544,11.0968688,2.76959723,3.03116744
1,100,0.000643785756,0.00343385552,1.83838647,0.00212876048,-64.5787141,2.77793264,3.03092563
