analysis,schematic,band,s4_pos,temperature_c,reference,terminal,net,voltage_v,model_context,note
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,SUPPLY,+12,/vfo-80289/+12,13.800000,system,Manual service-table supply condition
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,SUPPLY,+REG,/vfo-80289/+reg,8.000000,system,Regulated VFO supply
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,SUPPLY,OFFSET,/vfo-80289/offset,3.100000,system,Centered OFFSET control
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-1,D,net-_q89-1-d_,12.510000,system,2N5486 drain
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-1,G,net-_q89-1-g_,6.669910,system,2N5486 gate
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-1,S,net-_q89-1-s_,7.579380,system,2N5486 source
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-2,C,net-_q89-1-d_,12.510000,system,MPS6514 collector
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-2,B,net-_q89-1-s_,7.579380,system,MPS6514 base
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-2,E,net-_q89-2-e_,6.852380,system,MPS6514 emitter
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-3,D,net-_q89-3-d_,7.752830,system,2N5486 drain
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-3,G,net-_d89-1-a_,-2.200000,system,2N5486 gate
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-3,S,net-_q89-3-s_,0.024472,system,2N5486 source
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-4,C,net-_q89-4-c_,5.294010,system,MPS6514 collector
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-4,B,net-_q89-4-b_,1.156890,system,MPS6514 base
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-4,E,net-_q89-4-e_,0.452307,system,MPS6514 emitter
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-5,C,net-_q89-5-c_,7.939260,behavioral PTO substitute,Q89-5 excluded; node voltage only
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-5,B,net-_q89-5-b_,2.531360,behavioral PTO substitute,Q89-5 excluded; node voltage only
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,Q89-5,E,net-_q89-5-e_,1.700000,behavioral PTO substitute,Forced by V_PTO_IDEAL; not transistor bias
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,U89-1,1,net-_r89-4-pad2_,7.358900,system,MC1496 physical pin 1
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,U89-1,2,net-_r89-7-pad1_,6.474860,system,MC1496 physical pin 2
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,U89-1,3,net-_r89-7-pad2_,6.029160,system,MC1496 physical pin 3
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,U89-1,4,net-_c89-2-pad1_,6.821050,system,MC1496 physical pin 4
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,U89-1,5,net-_u89-1-bias_,3.890990,system,MC1496 physical pin 5
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,U89-1,6,net-_s89-1c-c-com_,12.749000,system,MC1496 physical pin 6
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,U89-1,7,net-_s89-1c-c-com_,12.749000,system,MC1496 physical pin 7
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,U89-1,8,net-_u89-1-input_carrier_,10.036100,system,MC1496 physical pin 8
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,U89-1,10,net-_u89-1-carrier_input_,10.032000,system,MC1496 physical pin 10
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,U89-1,12,net-_r89-13-pad2_,12.780800,system,MC1496 physical pin 12
80289 VFO 80 m DC operating point,triton_540.kicad_sch,80 m,1,27,U89-1,14,gnd,0.000000,system,MC1496 physical pin 14
