phase,evaluation,VFO_T1_L1,VFO_T1_L2,VFO_T1_K,VFO_C7,VFO_C8,VFO_C9,VFO_C10,VFO_C11,VFO_C12,score,rms_error_db,symmetry_error_db,ripple_db,low_db,center_db,high_db
t1,1,6.735666202322371,6.212549646977256,0.2527247845427122,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,1.8305908051745055,1.0350900067280226,0.18968791603484192,2.4232515296465635,-2.2335636136117216,-0.0850567937915514,-2.4232515296465635
t1,2,5.56185672390064,7.994066331110587,0.024596000915138277,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,17.46166920305229,5.538589977254023,9.53846338063861,9.53846338063861,0.0,-5.332529090732862,-9.53846338063861
t1,3,6.046931160181784,7.446452598589404,0.1624392211619471,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,19.450771823291987,6.163554651031675,10.62977373780825,10.62977373780825,0.0,-5.859102868243575,-10.62977373780825
t1,4,7.8688373986826186,5.393901760701713,0.39068676369027266,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,4.411600677817063,1.35166898989233,2.4479453503397863,2.4479453503397863,-2.4479453503397863,-1.6227730138650003,0.0
t1,5,4.667272386040106,5.547004935743956,0.11884876096932676,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,2.5067115800840716,0.5943598191147563,1.4077955467724763,2.0182248567873557,-0.6104293100148794,-0.05890412246814947,-2.0182248567873557
t1,6,5.194145010960595,6.747670461269481,0.2784279058477482,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,3.5365472789725674,1.0532831436515668,1.8717797107127865,2.445937698432857,-2.445937698432857,-0.7019186770206858,-0.5741579877200707
t1,7,6.5242703640527155,6.856286048384851,0.23722800245303044,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,12.714602396315636,3.432373608138381,7.401746042733812,7.521930981773771,-0.12018493903995875,-2.1415411579981196,-7.521930981773771
t1,8,5.846710030896964,7.727244586048295,0.180862742059272,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,19.425380091630323,6.140554481807706,10.627860487858094,10.627860487858094,0.0,-5.816232873422479,-10.627860487858094
t1,9,4.896829824561375,7.157497487290926,0.21212700766614767,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,8.555334492271943,2.1179748416249735,5.0663715158605385,5.483952539145719,-0.4175810232851802,-0.6555135674216217,-5.483952539145719
t1,10,5.216102165739354,6.5573632506865325,0.3389262570084932,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,5.819921776893074,1.856362850040095,3.1708471414823833,3.1708471414823833,-3.1708471414823833,-2.1288359095110962,0.0
t1,11,7.506192425718946,5.937790995580064,0.09196432955229718,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,12.619179710730155,3.412320916553322,7.329112642161384,7.510984608061797,-0.1818719659004131,-2.0796189843637336,-7.510984608061797
t1,12,6.9756074474716385,4.924163634883329,0.30199236907139476,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,4.067095934476356,1.2650935168870205,2.2416019340714683,2.2416019340714683,-2.2416019340714683,-1.5769991779033035,0.0
t1,13,7.210401789063148,4.98882284060445,0.05260603077934864,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,7.259071343090291,2.110875119040886,4.115033121185654,4.132652411455005,-4.132652411455005,-1.9427118504675818,-0.017619290269351495
t1,14,7.633507063572724,5.741764752636001,0.3573839986565285,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,7.271765653257097,2.3107196091329905,3.9688368352992853,3.9688368352992853,-3.9688368352992853,-2.5253941187736473,0.0
t1,15,6.143980187886549,4.617958616343185,0.12729802190710038,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,5.1403403567971235,1.6866139590462146,2.7629811182007273,2.7629811182007273,-2.7629811182007273,-2.0442004661814863,0.0
t1,16,5.916794298826019,6.212549646977256,0.2527247845427122,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,2.8778165723500404,1.0279500465083675,1.230747194623163,2.4764773248740397,-2.4764773248740397,-0.43463955763725437,-1.2457301302508768
t1,17,5.98691364466898,6.605159750789745,0.1654444460865379,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,17.029162347349498,4.965557615739063,9.65088378528835,9.65088378528835,0.0,-4.034530504391668,-9.65088378528835
t1,18,6.1706161424394415,6.938883745625191,0.2057190904335665,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,16.624834509788485,4.85137272571678,9.418769427257367,9.418769427257367,0.0,-3.965729797080421,-9.418769427257367
t1,19,7.416370280449857,5.65599883276579,0.19144619101215923,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,3.114779923637574,1.1795726541058718,1.2206653233487899,2.8581677847316485,-2.8581677847316485,-0.3688940259117288,-1.6375024613828586
t1,20,5.245570456000112,5.547004935743956,0.10551524211520183,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,4.038183486321245,1.0369574751097306,2.1910029517760563,3.240892237741832,-1.0498892859657758,-0.00028427446690670877,-3.240892237741832
t1,21,5.98691364466898,6.605159750789745,0.1654444460865379,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,17.029162347349498,4.965557615739063,9.65088378528835,9.65088378528835,0.0,-4.034530504391668,-9.65088378528835
t1,22,5.5041687385074205,6.856286048384851,0.24567854059183142,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,5.929003107682612,1.5275074439482177,3.3218406296887366,4.318620136182631,-0.996779506493894,-0.16702279929985764,-4.318620136182631
t1,23,7.293963597992333,7.727244586048295,0.06440109174922809,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,15.26602819438,4.805289515619217,8.368590943008627,8.368590943008627,0.0,-4.645252922910274,-8.368590943008627
t1,24,4.896829824561375,7.157497487290926,0.0545860227098357,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,22.582079039488743,7.224950284107379,12.285703004305091,12.285703004305091,0.0,-6.874906329756662,-12.285703004305091
t1,25,5.98691364466898,6.605159750789745,0.1654444460865379,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,17.029162347349498,4.965557615739063,9.65088378528835,9.65088378528835,0.0,-4.034530504391668,-9.65088378528835
t1,26,7.75599164852446,4.864608772638549,0.15862341790948326,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,8.295102558818744,2.646926197077284,4.5185410893931675,4.5185410893931675,-4.5185410893931675,-2.8282072985183007,0.0
t1,27,4.576404125622597,4.924163634883329,0.3738615563416916,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,2.573558127173664,0.7754979363315222,1.4378692666021493,1.4407636969599693,0.0,-1.1270444490796763,-1.4378692666021493
t1,28,7.210401789063148,4.800880497555193,0.05260603077934864,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,8.243645844768267,2.597004959004,4.5173127086114135,4.5173127086114135,-4.5173127086114135,-2.7259334697086217,0.0
t1,29,5.8265930206613294,6.673170577414533,0.29165561169605364,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,3.1318707159872936,1.0524476614777105,1.4421955815269598,2.548909891930492,-2.548909891930492,-0.47590385268968305,-1.1067143104035324
t1,30,7.549992313690584,6.37201157603143,0.19208941601036314,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,12.93911992360512,3.5259357860014284,7.506292701737159,7.627565743466128,-0.12127304172896913,-2.2778445760759354,-7.627565743466128
t1,31,7.358043894632489,4.911686654247934,0.11077434553428196,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,8.407630361360866,2.627453320319169,4.624141632833357,4.624141632833357,-4.624141632833357,-2.7182376955510605,0.0
t1,32,7.561697783328312,6.605159750789745,0.25745107931953537,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,9.033931086178718,2.3813700538665845,5.183198171052446,5.877451445038751,-0.6942532739863054,-0.8897511416540453,-5.877451445038751
t1,33,6.1706161424394415,6.258168166132271,0.2756676039854893,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,4.210616604176003,1.2621012537536807,2.214579029702435,2.9357452828795516,-2.9357452828795516,-0.7651170638475833,-0.7211662531771168
t1,34,6.360690730953478,4.67458587061045,0.19144619101215923,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,4.633000066567134,1.496149012410785,2.509480843325079,2.509480843325079,-2.509480843325079,-1.843168456458578,0.0
t1,35,7.754919526393408,5.981264618308184,0.1949048208983138,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,5.679363483397129,1.6049582085380505,2.9689887970529085,4.421665911224679,-1.4526771141717703,-0.15455965588190423,-4.421665911224679
t1,36,5.194145010960595,4.823253725136138,0.3379407653195796,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,0.5898168863083283,0.13336117149556814,0.3110721096520592,0.5815344206428037,0.0,-0.5674729271220187,-0.3110721096520592
t1,37,5.158743976610355,5.426482268295616,0.2953206700470059,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,2.880156602348886,0.94205882832748,1.5362373921127244,1.6074415276347267,-1.5362373921127244,-1.3660591134075446,0.0
t1,38,4.779792976010377,4.890939428709917,0.06440109174922809,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,2.5721615984663186,0.8492404118155619,1.3393900926158793,1.5341243761395091,-1.3393900926158793,-1.2848026270133488,0.0
t1,39,5.331573099105019,5.757988958343465,0.18623929507168918,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,2.256750748944442,0.8517068726717988,0.9079475161060344,1.988385440666434,-1.988385440666434,-0.44912255830601566,-1.0804379245603997
t1,40,5.216102165739354,4.559909013270886,0.3347705852246038,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,1.2881235922992382,0.3556123162914315,0.7244493683250042,0.8322476307312101,0.0,-0.7507883108720748,-0.7244493683250042
t1,41,6.96263920865371,5.336420213630586,0.1608083563845732,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,5.883330617329322,1.6812527915722155,3.3010036535170784,3.604296688960112,-3.604296688960112,-1.301739524653314,-0.30329303544303343
t1,42,5.360332698733594,4.590101472670407,0.26536364623130704,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,0.32146632200159797,0.06332670266336228,0.11992174742812978,0.5528714876404237,-0.11992174742812978,-0.5512196530731757,0.0
t1,43,4.8062688919715,6.980961017577707,0.2621934661363312,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,2.617247276505232,0.8489983247780265,1.2609149568303906,2.029335979587259,-2.029335979587259,-0.49361874467417977,-0.7684210227568684
t1,44,7.9032287775817975,6.673170577414533,0.36362543594631547,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,6.329630624015952,1.7781078155408012,3.578176617585065,3.8933847635603414,-3.8933847635603414,-1.2900543094569201,-0.31520814597527647
t1,45,7.210458284310181,4.617958616343185,0.3820494690984506,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,1.1677420302904098,0.2868397301964914,0.6987745917651793,0.7285108333149566,-0.6987745917651793,-0.6172709457066645,0.0
t1,46,6.65558789438414,5.856695131525717,0.19316233610196926,19.664525,6.2034036,17.441186,19.664525,6.2034036,17.441186,2.5972322919449082,1.0756679452991387,0.8125714849491317,2.8359714467865516,-2.02339996183742,-0.02911012372805999,-2.8359714467865516
