filter_path,filter_components,s4_pos,frequency_mhz,transimpedance_ohm,normalized_db,inside_manual_range
80 m,C89-9 / C89-12,1,12.425,422.60315,0.0425613638,no
80 m,C89-9 / C89-12,1,12.426625,422.552899,0.0415284757,no
80 m,C89-9 / C89-12,1,12.42825,422.502912,0.0405008956,no
80 m,C89-9 / C89-12,1,12.429875,422.453189,0.0394786217,no
80 m,C89-9 / C89-12,1,12.4315,422.40373,0.0384616521,no
80 m,C89-9 / C89-12,1,12.433125,422.354534,0.037449985,no
80 m,C89-9 / C89-12,1,12.43475,422.305602,0.0364436184,no
80 m,C89-9 / C89-12,1,12.436375,422.256933,0.0354425507,no
80 m,C89-9 / C89-12,1,12.438,422.208528,0.0344467799,no
80 m,C89-9 / C89-12,1,12.439625,422.160385,0.0334563043,no
80 m,C89-9 / C89-12,1,12.44125,422.112505,0.0324711221,no
80 m,C89-9 / C89-12,1,12.442875,422.064887,0.0314912315,no
80 m,C89-9 / C89-12,1,12.4445,422.017532,0.0305166307,no
80 m,C89-9 / C89-12,1,12.446125,421.970439,0.0295473179,no
80 m,C89-9 / C89-12,1,12.44775,421.923608,0.0285832914,no
80 m,C89-9 / C89-12,1,12.449375,421.877039,0.0276245495,no
80 m,C89-9 / C89-12,1,12.451,421.830732,0.0266710904,no
80 m,C89-9 / C89-12,1,12.452625,421.784686,0.0257229123,no
80 m,C89-9 / C89-12,1,12.45425,421.738902,0.0247800136,no
80 m,C89-9 / C89-12,1,12.455875,421.693378,0.0238423925,no
80 m,C89-9 / C89-12,1,12.4575,421.648116,0.0229100474,no
80 m,C89-9 / C89-12,1,12.459125,421.603115,0.0219829765,no
80 m,C89-9 / C89-12,1,12.46075,421.558374,0.0210611782,no
80 m,C89-9 / C89-12,1,12.462375,421.513894,0.0201446508,no
80 m,C89-9 / C89-12,1,12.464,421.469674,0.0192333926,no
80 m,C89-9 / C89-12,1,12.465625,421.425715,0.018327402,no
80 m,C89-9 / C89-12,1,12.46725,421.382015,0.0174266773,no
80 m,C89-9 / C89-12,1,12.468875,421.338576,0.016531217,no
80 m,C89-9 / C89-12,1,12.4705,421.295396,0.0156410193,no
80 m,C89-9 / C89-12,1,12.472125,421.252475,0.0147560827,no
80 m,C89-9 / C89-12,1,12.47375,421.209815,0.0138764056,no
80 m,C89-9 / C89-12,1,12.475375,421.167413,0.0130019863,no
80 m,C89-9 / C89-12,1,12.477,421.125271,0.0121328233,no
80 m,C89-9 / C89-12,1,12.478625,421.083387,0.011268915,no
80 m,C89-9 / C89-12,1,12.48025,421.041762,0.0104102598,no
80 m,C89-9 / C89-12,1,12.481875,421.000396,0.00955685625,no
80 m,C89-9 / C89-12,1,12.4835,420.959289,0.0087087027,no
80 m,C89-9 / C89-12,1,12.485125,420.91844,0.00786579759,no
80 m,C89-9 / C89-12,1,12.48675,420.877849,0.00702813946,no
80 m,C89-9 / C89-12,1,12.488375,420.837516,0.00619572677,no
80 m,C89-9 / C89-12,1,12.49,420.797441,0.00536855799,no
80 m,C89-9 / C89-12,1,12.491625,420.757623,0.00454663164,no
80 m,C89-9 / C89-12,1,12.49325,420.718064,0.0037299462,no
80 m,C89-9 / C89-12,1,12.494875,420.678762,0.00291850021,no
80 m,C89-9 / C89-12,1,12.4965,420.639717,0.00211229219,no
80 m,C89-9 / C89-12,1,12.498125,420.600929,0.00131132068,no
80 m,C89-9 / C89-12,1,12.49975,420.562399,0.000515584209,no
80 m,C89-9 / C89-12,1,12.501375,420.524125,-0.000274918652,yes
80 m,C89-9 / C89-12,1,12.503,420.486108,-0.00106018937,yes
80 m,C89-9 / C89-12,1,12.504625,420.448348,-0.00184022934,yes
80 m,C89-9 / C89-12,1,12.50625,420.410844,-0.00261503999,yes
80 m,C89-9 / C89-12,1,12.507875,420.373597,-0.00338462274,yes
80 m,C89-9 / C89-12,1,12.5095,420.336606,-0.00414897898,yes
80 m,C89-9 / C89-12,1,12.511125,420.299871,-0.0049081101,yes
80 m,C89-9 / C89-12,1,12.51275,420.263392,-0.0056620175,yes
80 m,C89-9 / C89-12,1,12.514375,420.227168,-0.00641070252,yes
80 m,C89-9 / C89-12,1,12.516,420.191201,-0.00715416655,yes
80 m,C89-9 / C89-12,1,12.517625,420.155489,-0.00789241093,yes
80 m,C89-9 / C89-12,1,12.51925,420.120032,-0.00862543703,yes
80 m,C89-9 / C89-12,1,12.520875,420.084831,-0.00935324616,yes
80 m,C89-9 / C89-12,1,12.5225,420.049885,-0.0100758396,yes
80 m,C89-9 / C89-12,1,12.524125,420.015194,-0.0107932188,yes
80 m,C89-9 / C89-12,1,12.52575,419.980758,-0.011505385,yes
80 m,C89-9 / C89-12,1,12.527375,419.946576,-0.0122123394,yes
80 m,C89-9 / C89-12,1,12.529,419.91265,-0.0129140834,yes
80 m,C89-9 / C89-12,1,12.530625,419.878978,-0.0136106183,yes
80 m,C89-9 / C89-12,1,12.53225,419.84556,-0.0143019453,yes
80 m,C89-9 / C89-12,1,12.533875,419.812397,-0.0149880658,yes
80 m,C89-9 / C89-12,1,12.5355,419.779487,-0.0156689808,yes
80 m,C89-9 / C89-12,1,12.537125,419.746832,-0.0163446917,yes
80 m,C89-9 / C89-12,1,12.53875,419.714431,-0.0170151998,yes
80 m,C89-9 / C89-12,1,12.540375,419.682284,-0.0176805062,yes
80 m,C89-9 / C89-12,1,12.542,419.65039,-0.0183406122,yes
80 m,C89-9 / C89-12,1,12.543625,419.61875,-0.018995519,yes
80 m,C89-9 / C89-12,1,12.54525,419.587364,-0.0196452278,yes
80 m,C89-9 / C89-12,1,12.546875,419.556231,-0.0202897397,yes
80 m,C89-9 / C89-12,1,12.5485,419.525351,-0.0209290559,yes
80 m,C89-9 / C89-12,1,12.550125,419.494724,-0.0215631777,yes
80 m,C89-9 / C89-12,1,12.55175,419.46435,-0.0221921062,yes
80 m,C89-9 / C89-12,1,12.553375,419.434229,-0.0228158425,yes
80 m,C89-9 / C89-12,1,12.555,419.404361,-0.0234343878,yes
80 m,C89-9 / C89-12,1,12.556625,419.374746,-0.0240477432,yes
80 m,C89-9 / C89-12,1,12.55825,419.345384,-0.0246559098,yes
80 m,C89-9 / C89-12,1,12.559875,419.316273,-0.0252588888,yes
80 m,C89-9 / C89-12,1,12.5615,419.287416,-0.0258566813,yes
80 m,C89-9 / C89-12,1,12.563125,419.25881,-0.0264492883,yes
80 m,C89-9 / C89-12,1,12.56475,419.230457,-0.027036711,yes
80 m,C89-9 / C89-12,1,12.566375,419.202356,-0.0276189504,yes
80 m,C89-9 / C89-12,1,12.568,419.174506,-0.0281960077,yes
80 m,C89-9 / C89-12,1,12.569625,419.146909,-0.0287678838,yes
80 m,C89-9 / C89-12,1,12.57125,419.119563,-0.0293345798,yes
80 m,C89-9 / C89-12,1,12.572875,419.092469,-0.0298960969,yes
80 m,C89-9 / C89-12,1,12.5745,419.065627,-0.0304524359,yes
80 m,C89-9 / C89-12,1,12.576125,419.039036,-0.031003598,yes
80 m,C89-9 / C89-12,1,12.57775,419.012696,-0.0315495842,yes
80 m,C89-9 / C89-12,1,12.579375,418.986608,-0.0320903954,yes
80 m,C89-9 / C89-12,1,12.581,418.960771,-0.0326260327,yes
80 m,C89-9 / C89-12,1,12.582625,418.935185,-0.033156497,yes
80 m,C89-9 / C89-12,1,12.58425,418.90985,-0.0336817895,yes
80 m,C89-9 / C89-12,1,12.585875,418.884766,-0.0342019109,yes
80 m,C89-9 / C89-12,1,12.5875,418.859933,-0.0347168623,yes
80 m,C89-9 / C89-12,1,12.589125,418.83535,-0.0352266447,yes
80 m,C89-9 / C89-12,1,12.59075,418.811018,-0.0357312589,yes
