phase,candidate,filter_path,VFO_T1_L1,VFO_T1_L2,VFO_T1_K,VFO_C7,VFO_C8,VFO_C9,VFO_C10,VFO_C11,VFO_C12,raw_mixer_mvpp,filter_input_mvpp,filter_output_mvpp,frequency_mhz,filter_gain_db,loaded_out_mvpp
t1_inductance,l5.00,10 m,5.0,5.0,0.1,16.6,5.1,14.5,16.6,5.1,14.5,533.7108471138577,526.5857747721484,258.77350886719,19.0,-6.170986162773966,128.9407888915988
t1_inductance,l5.00,10 m,5.0,5.0,0.1,16.6,5.1,14.5,16.6,5.1,14.5,434.9668490762178,428.15279798280363,258.64545566349693,19.5,-4.377878682400757,128.779061317653
t1_inductance,l5.00,10 m,5.0,5.0,0.1,16.6,5.1,14.5,16.6,5.1,14.5,364.6809629227843,357.6101383417042,273.39909345513377,20.0,-2.3322550494775243,136.0157504274788
t1_inductance,l5.00,10 m,5.0,5.0,0.1,16.6,5.1,14.5,16.6,5.1,14.5,320.0844751042384,312.12177929413065,299.98608904293,20.5,-0.34445915855206116,149.1176590663625
t1_inductance,l5.00,10 m,5.0,5.0,0.1,16.6,5.1,14.5,16.6,5.1,14.5,160.46288247334329,155.82487333270694,165.6155850839894,21.0,0.5292884134565665,82.27213389528202
t1_inductance,l5.20,10 m,5.2,5.2,0.1,16.6,5.1,14.5,16.6,5.1,14.5,467.8027936508952,460.8630639476976,261.4863312363029,19.0,-4.922458220851915,130.2921042869974
t1_inductance,l5.20,10 m,5.2,5.2,0.1,16.6,5.1,14.5,16.6,5.1,14.5,388.6021066465844,381.58248196488006,272.35698697704447,19.5,-2.9289981494341917,135.60345218435822
t1_inductance,l5.20,10 m,5.2,5.2,0.1,16.6,5.1,14.5,16.6,5.1,14.5,336.35561929058275,328.61566866925193,296.469751985239,20.0,-0.8941575411650435,147.48838336163695
t1_inductance,l5.20,10 m,5.2,5.2,0.1,16.6,5.1,14.5,16.6,5.1,14.5,314.00881713779165,305.3286271740973,315.7374565650976,20.5,0.2911716227002304,156.9437393747039
t1_inductance,l5.20,10 m,5.2,5.2,0.1,16.6,5.1,14.5,16.6,5.1,14.5,162.77455216526292,158.3955230488001,150.0114309016377,21.0,-0.4723709743620139,74.52149237477333
t1_inductance,l5.40,10 m,5.4,5.4,0.1,16.6,5.1,14.5,16.6,5.1,14.5,417.93116932037407,410.9232762222124,271.5078395576915,19.0,-3.5995673604704463,135.2837298905993
t1_inductance,l5.40,10 m,5.4,5.4,0.1,16.6,5.1,14.5,16.6,5.1,14.5,356.4189819658156,348.90098626915477,292.1033220259471,19.5,-1.5433140194475987,145.43072333450425
t1_inductance,l5.40,10 m,5.4,5.4,0.1,16.6,5.1,14.5,16.6,5.1,14.5,324.9629499022876,316.5017082327675,314.75503415207567,20.0,-0.04806746921941601,156.58061113983203
t1_inductance,l5.40,10 m,5.4,5.4,0.1,16.6,5.1,14.5,16.6,5.1,14.5,317.74777741191537,309.23745536501997,297.87630281212995,20.5,-0.3251227219538872,148.07069232182903
t1_inductance,l5.40,10 m,5.4,5.4,0.1,16.6,5.1,14.5,16.6,5.1,14.5,159.12472270878487,155.31679180710623,120.50202612684829,21.0,-2.2044812409062353,59.86352485591865
t1_inductance,l5.60,10 m,5.6,5.6,0.1,16.6,5.1,14.5,16.6,5.1,14.5,381.4520358710093,374.11861526956176,287.55849828825666,19.0,-2.285662225584977,143.2779606036055
t1_inductance,l5.60,10 m,5.6,5.6,0.1,16.6,5.1,14.5,16.6,5.1,14.5,339.13607690023355,330.9612962852771,311.3234699443156,19.5,-0.531306930951732,154.99533467676372
t1_inductance,l5.60,10 m,5.6,5.6,0.1,16.6,5.1,14.5,16.6,5.1,14.5,326.2207653310361,317.6141635050951,308.97282223272776,20.0,-0.23959162066539608,153.70636365293834
t1_inductance,l5.60,10 m,5.6,5.6,0.1,16.6,5.1,14.5,16.6,5.1,14.5,314.073851993616,306.466976038314,249.54704035273298,20.5,-1.7846251927824028,124.05659822185669
t1_inductance,l5.60,10 m,5.6,5.6,0.1,16.6,5.1,14.5,16.6,5.1,14.5,151.32280208409665,147.9939027962246,93.19344158332677,21.0,-4.017169459334888,46.2978948101751
t1_inductance,l5.80,10 m,5.8,5.8,0.1,16.6,5.1,14.5,16.6,5.1,14.5,358.0962850621668,350.232728561758,305.8738467491019,19.0,-1.1762876538009148,152.3994758688789
t1_inductance,l5.80,10 m,5.8,5.8,0.1,16.6,5.1,14.5,16.6,5.1,14.5,335.68514380267044,327.12244318855204,315.98113207559896,19.5,-0.30098380932766666,157.31346729329104
t1_inductance,l5.80,10 m,5.8,5.8,0.1,16.6,5.1,14.5,16.6,5.1,14.5,325.74051355082185,317.7596491968497,272.115661994252,20.0,-1.3469041687795682,135.3795194767586
t1_inductance,l5.80,10 m,5.8,5.8,0.1,16.6,5.1,14.5,16.6,5.1,14.5,301.30915573582104,294.62348328682765,197.5446171062831,20.5,-3.472043194306425,98.2116052828223
t1_inductance,l5.80,10 m,5.8,5.8,0.1,16.6,5.1,14.5,16.6,5.1,14.5,143.01040688540942,139.99950599117736,72.84235680791537,21.0,-5.674850285997691,36.187969551380185
t1_inductance,l6.00,10 m,6.0,6.0,0.1,16.6,5.1,14.5,16.6,5.1,14.5,348.08731444949336,339.72443977068355,317.5291621646921,19.0,-0.5868634735039631,158.20394467206322
t1_inductance,l6.00,10 m,6.0,6.0,0.1,16.6,5.1,14.5,16.6,5.1,14.5,336.6269784064853,328.33255102090476,293.65988981894344,19.5,-0.9693861897043325,146.20688491351987
t1_inductance,l6.00,10 m,6.0,6.0,0.1,16.6,5.1,14.5,16.6,5.1,14.5,316.3671784177139,309.2616110820363,222.61173646092595,20.0,-2.8555591332036596,110.75900952530456
t1_inductance,l6.00,10 m,6.0,6.0,0.1,16.6,5.1,14.5,16.6,5.1,14.5,285.8775108820224,279.85976044588017,155.86533538785926,20.5,-5.083818393291377,77.49383775678467
t1_inductance,l6.00,10 m,6.0,6.0,0.1,16.6,5.1,14.5,16.6,5.1,14.5,135.52073474958758,132.71406375213604,58.346734104372736,21.0,-7.138007914675778,28.986650880292817
t1_coupling,k0.04,10 m,5.4,5.4,0.04,16.6,5.1,14.5,16.6,5.1,14.5,479.6720989384886,473.9934212697969,130.09041710405978,19.0,-11.23054015657255,64.83016700193981
t1_coupling,k0.04,10 m,5.4,5.4,0.04,16.6,5.1,14.5,16.6,5.1,14.5,406.87591427223043,401.57632216417653,139.53183303134284,19.5,-9.18189596639874,69.48231697158072
t1_coupling,k0.04,10 m,5.4,5.4,0.04,16.6,5.1,14.5,16.6,5.1,14.5,356.34183982793866,351.1494199131809,141.60322946566717,20.0,-7.888375942704058,70.45946265004322
t1_coupling,k0.04,10 m,5.4,5.4,0.04,16.6,5.1,14.5,16.6,5.1,14.5,319.1615522135751,314.06521746154306,118.29189569272451,20.5,-8.481296990921663,58.81481954702927
t1_coupling,k0.04,10 m,5.4,5.4,0.04,16.6,5.1,14.5,16.6,5.1,14.5,150.82014992197108,148.26393807052045,44.3866591845101,21.0,-10.475661455432288,22.051919773590324
t1_coupling,k0.06,10 m,5.4,5.4,0.06,16.6,5.1,14.5,16.6,5.1,14.5,462.9647904297304,457.00906903057677,186.28132663769324,19.0,-7.795109924972006,92.82819338029958
t1_coupling,k0.06,10 m,5.4,5.4,0.06,16.6,5.1,14.5,16.6,5.1,14.5,393.7678514561001,387.9504512808758,200.14266317489336,19.5,-5.748731740375977,99.65883805619943
t1_coupling,k0.06,10 m,5.4,5.4,0.06,16.6,5.1,14.5,16.6,5.1,14.5,349.73474134410856,343.76635608753907,206.89480656912332,20.0,-4.41027562861466,102.94053217674266
t1_coupling,k0.06,10 m,5.4,5.4,0.06,16.6,5.1,14.5,16.6,5.1,14.5,320.3507855953853,314.49982353760805,178.15724874807037,20.5,-4.936338175223138,88.57483034651156
t1_coupling,k0.06,10 m,5.4,5.4,0.06,16.6,5.1,14.5,16.6,5.1,14.5,153.04071979881905,150.2191768407163,67.77496145477825,21.0,-6.913121971574992,33.67083844234523
t1_coupling,k0.08,10 m,5.4,5.4,0.08,16.6,5.1,14.5,16.6,5.1,14.5,441.848509617915,435.42652967184415,233.72885417317238,19.0,-5.404051124216456,116.4659833892821
t1_coupling,k0.08,10 m,5.4,5.4,0.08,16.6,5.1,14.5,16.6,5.1,14.5,376.61041794591216,370.0179551262539,251.50550403974398,19.5,-3.3535060993283947,125.22608858991832
t1_coupling,k0.08,10 m,5.4,5.4,0.08,16.6,5.1,14.5,16.6,5.1,14.5,339.39470905631805,332.29745680087734,265.61236453412704,20.0,-1.945574588800845,132.14473929441033
t1_coupling,k0.08,10 m,5.4,5.4,0.08,16.6,5.1,14.5,16.6,5.1,14.5,320.4585920674116,313.46305974635806,238.72429618870268,20.5,-2.3657949370597633,118.67808912463072
t1_coupling,k0.08,10 m,5.4,5.4,0.08,16.6,5.1,14.5,16.6,5.1,14.5,155.90796816023493,152.6780313719737,93.01369291069422,21.0,-4.304593281442361,46.20872984370446
t1_coupling,k0.10,10 m,5.4,5.4,0.1,16.6,5.1,14.5,16.6,5.1,14.5,417.93116932037407,410.9232762222124,271.5078395576915,19.0,-3.5995673604704463,135.2837298905993
t1_coupling,k0.10,10 m,5.4,5.4,0.1,16.6,5.1,14.5,16.6,5.1,14.5,356.4189819658156,348.90098626915477,292.1033220259471,19.5,-1.5433140194475987,145.43072333450425
t1_coupling,k0.10,10 m,5.4,5.4,0.1,16.6,5.1,14.5,16.6,5.1,14.5,324.9629499022876,316.5017082327675,314.75503415207567,20.0,-0.04806746921941601,156.58061113983203
t1_coupling,k0.10,10 m,5.4,5.4,0.1,16.6,5.1,14.5,16.6,5.1,14.5,317.74777741191537,309.23745536501997,297.87630281212995,20.5,-0.3251227219538872,148.07069232182903
