filter_path,s4_pos,s5_pos,wanted_frequency_mhz,test_point,load,load_ohm,wanted_output_mvpp
80 m,1,,12.500000,low,50 ohm,50.000000,54.637102
80 m,1,,12.500000,low,1 Mohm,1000000.000000,88.413215
80 m,1,,12.750000,center,50 ohm,50.000000,42.455877
80 m,1,,12.750000,center,1 Mohm,1000000.000000,68.689745
80 m,1,,13.000000,high,50 ohm,50.000000,29.047333
80 m,1,,13.000000,high,1 Mohm,1000000.000000,46.984963
40 m,2,,16.000000,low,50 ohm,50.000000,142.572841
40 m,2,,16.000000,low,1 Mohm,1000000.000000,230.927894
40 m,2,,16.250000,center,50 ohm,50.000000,110.799190
40 m,2,,16.250000,center,1 Mohm,1000000.000000,179.300020
40 m,2,,16.500000,high,50 ohm,50.000000,76.261077
40 m,2,,16.500000,high,1 Mohm,1000000.000000,123.267296
15 m,4,,12.000000,low,50 ohm,50.000000,106.167046
15 m,4,,12.000000,low,1 Mohm,1000000.000000,171.978226
15 m,4,,12.250000,center,50 ohm,50.000000,81.145589
15 m,4,,12.250000,center,1 Mohm,1000000.000000,131.394394
15 m,4,,12.500000,high,50 ohm,50.000000,55.928210
15 m,4,,12.500000,high,1 Mohm,1000000.000000,90.517411
10 m,5,1,19.000000,low,50 ohm,50.000000,131.247131
10 m,5,1,19.000000,low,1 Mohm,1000000.000000,212.546049
10 m,5,3,20.000000,center,50 ohm,50.000000,122.236120
10 m,5,3,20.000000,center,1 Mohm,1000000.000000,197.226671
10 m,5,4,21.000000,high,50 ohm,50.000000,68.286099
10 m,5,4,21.000000,high,1 Mohm,1000000.000000,109.215898
