filter_path,filter_components,s4_pos,s5_pos,wanted_frequency_mhz,pto_mhz,crystal_mhz,inside_manual_range,raw_mixer_mvpp,filter_input_mvpp,filter_output_mvpp,loaded_out_mvpp,filter_gain_db,buffer_load_gain_db,filter_gain_normalized_db
80 m,C89-9 / C89-12,1,,12.350000,4.850000,7.500000,no,167.306973,161.330191,107.878841,54.204999,-3.495588,-5.977939,-2.513673
80 m,C89-9 / C89-12,1,,12.400000,4.900000,7.500000,no,167.631082,161.489838,109.668332,55.101384,-3.361279,-5.978375,-2.379365
80 m,C89-9 / C89-12,1,,12.450000,4.950000,7.500000,no,165.709733,159.483965,110.026426,55.278610,-3.224400,-5.978798,-2.242486
80 m,C89-9 / C89-12,1,,12.500000,5.000000,7.500000,yes,161.345307,155.127877,108.754321,54.637102,-3.084867,-5.979177,-2.102952
80 m,C89-9 / C89-12,1,,12.550000,5.050000,7.500000,yes,154.778335,148.661573,105.942277,53.221716,-2.942588,-5.979609,-1.960674
80 m,C89-9 / C89-12,1,,12.600000,5.100000,7.500000,yes,146.307515,140.377392,101.724028,51.100250,-2.797472,-5.980011,-1.815558
80 m,C89-9 / C89-12,1,,12.650000,5.150000,7.500000,yes,136.586188,130.908083,96.492903,48.470202,-2.649422,-5.980411,-1.667507
80 m,C89-9 / C89-12,1,,12.700000,5.200000,7.500000,yes,126.229877,120.847458,90.640203,45.528180,-2.498333,-5.980812,-1.516419
80 m,C89-9 / C89-12,1,,12.750000,5.250000,7.500000,yes,115.778727,110.714383,84.527666,42.455877,-2.344103,-5.981221,-1.362189
80 m,C89-9 / C89-12,1,,12.800000,5.300000,7.500000,yes,105.670768,100.929135,78.466857,39.409881,-2.186606,-5.981623,-1.204691
80 m,C89-9 / C89-12,1,,12.850000,5.350000,7.500000,yes,96.201170,91.772478,72.681876,36.502648,-2.025727,-5.982035,-1.043812
80 m,C89-9 / C89-12,1,,12.900000,5.400000,7.500000,yes,87.498533,83.365459,67.285121,33.790640,-1.861342,-5.982452,-0.879428
80 m,C89-9 / C89-12,1,,12.950000,5.450000,7.500000,yes,79.611548,75.752430,62.334811,31.303069,-1.693318,-5.982875,-0.711404
80 m,C89-9 / C89-12,1,,13.000000,5.500000,7.500000,yes,72.529086,68.920249,57.845676,29.047333,-1.521519,-5.983293,-0.539604
80 m,C89-9 / C89-12,1,,13.050000,5.550000,7.500000,no,66.192382,62.811997,53.796405,27.012623,-1.345787,-5.983730,-0.363873
80 m,C89-9 / C89-12,1,,13.100000,5.600000,7.500000,no,60.535606,57.361589,50.155944,25.183395,-1.165975,-5.984163,-0.184061
80 m,C89-9 / C89-12,1,,13.150000,5.650000,7.500000,no,55.487904,52.500347,46.888512,23.541628,-0.981914,-5.984599,0.000000
40 m,C89-8 / C89-11,2,,15.850000,4.850000,11.000000,no,275.804360,266.935165,282.955177,141.598766,0.506237,-6.013164,-3.700599
40 m,C89-8 / C89-11,2,,15.900000,4.900000,11.000000,no,274.455829,265.338453,287.564093,143.895089,0.698689,-6.013774,-3.508147
40 m,C89-8 / C89-11,2,,15.950000,4.950000,11.000000,no,269.415194,260.162169,288.417153,144.312669,0.895539,-6.014333,-3.311298
40 m,C89-8 / C89-11,2,,16.000000,5.000000,11.000000,yes,260.402622,251.148986,284.956437,142.572841,1.096941,-6.014833,-3.109895
40 m,C89-8 / C89-11,2,,16.050000,5.050000,11.000000,yes,248.049000,238.919949,277.591006,138.880490,1.303060,-6.015283,-2.903777
40 m,C89-8 / C89-11,2,,16.100000,5.100000,11.000000,yes,232.768883,223.889160,266.523810,133.337283,1.514059,-6.015688,-2.692777
40 m,C89-8 / C89-11,2,,16.150000,5.150000,11.000000,yes,215.693646,207.156719,252.816111,126.474042,1.730114,-6.016067,-2.476722
40 m,C89-8 / C89-11,2,,16.200000,5.200000,11.000000,yes,197.845452,189.713498,237.502442,118.808091,1.951397,-6.016441,-2.255439
40 m,C89-8 / C89-11,2,,16.250000,5.250000,11.000000,yes,180.069284,172.375200,221.501984,110.799190,2.178057,-6.016821,-2.028780
40 m,C89-8 / C89-11,2,,16.300000,5.300000,11.000000,yes,163.062900,155.813105,205.646536,102.863341,2.410348,-6.017215,-1.796488
40 m,C89-8 / C89-11,2,,16.350000,5.350000,11.000000,yes,147.288225,140.466695,190.543320,95.304296,2.648407,-6.017625,-1.558429
40 m,C89-8 / C89-11,2,,16.400000,5.400000,11.000000,yes,132.901567,126.483039,176.462822,88.257193,2.892419,-6.018062,-1.314418
40 m,C89-8 / C89-11,2,,16.450000,5.450000,11.000000,yes,119.949432,113.901909,163.551980,81.795574,3.142496,-6.018520,-1.064340
40 m,C89-8 / C89-11,2,,16.500000,5.500000,11.000000,yes,108.852689,103.112017,152.493946,76.261077,3.398866,-6.018993,-0.807970
40 m,C89-8 / C89-11,2,,16.550000,5.550000,11.000000,no,98.114217,92.704862,141.313573,70.665883,3.661627,-6.019482,-0.545209
40 m,C89-8 / C89-11,2,,16.600000,5.600000,11.000000,no,88.996645,83.856927,131.851709,65.930429,3.930936,-6.019997,-0.275900
40 m,C89-8 / C89-11,2,,16.650000,5.650000,11.000000,no,80.907179,76.006756,123.365583,61.683441,4.206836,-6.020508,0.000000
15 m,C89-7 / C89-10,4,,11.850000,4.860000,6.990000,no,236.121333,228.393872,213.985771,107.562514,-0.565991,-5.974479,-4.616184
15 m,C89-7 / C89-10,4,,11.900000,4.910000,6.990000,no,232.623108,224.695879,216.036846,108.588129,-0.341346,-5.974910,-4.391539
15 m,C89-7 / C89-10,4,,11.950000,4.960000,6.990000,no,226.068362,218.039560,215.292494,108.209072,-0.110128,-5.975304,-4.160321
15 m,C89-7 / C89-10,4,,12.000000,5.010000,6.990000,yes,216.166781,208.158582,211.238304,106.167046,0.127567,-5.975659,-3.922626
15 m,C89-7 / C89-10,4,,12.050000,5.060000,6.990000,yes,204.142010,196.245243,204.861597,102.958046,0.373228,-5.976005,-3.676965
15 m,C89-7 / C89-10,4,,12.100000,5.110000,6.990000,yes,189.859658,182.184889,195.798923,98.399746,0.625959,-5.976326,-3.424234
15 m,C89-7 / C89-10,4,,12.150000,5.160000,6.990000,yes,174.481943,167.104326,185.062025,93.000572,0.886592,-5.976634,-3.163601
15 m,C89-7 / C89-10,4,,12.200000,5.210000,6.990000,yes,158.840718,151.808036,173.411736,87.142763,1.155674,-5.976943,-2.894519
15 m,C89-7 / C89-10,4,,12.250000,5.260000,6.990000,yes,143.576738,136.911872,161.483333,81.145589,1.433732,-5.977256,-2.616461
15 m,C89-7 / C89-10,4,,12.300000,5.310000,6.990000,yes,129.223111,122.925512,149.867858,75.305988,1.721330,-5.977580,-2.328864
15 m,C89-7 / C89-10,4,,12.350000,5.360000,6.990000,yes,116.044737,110.098524,138.908984,69.796612,2.018977,-5.977920,-2.031216
15 m,C89-7 / C89-10,4,,12.400000,5.410000,6.990000,yes,104.137746,98.518408,128.788763,64.708905,2.327212,-5.978278,-1.722981
15 m,C89-7 / C89-10,4,,12.450000,5.460000,6.990000,yes,93.503237,88.181040,119.593501,60.086305,2.646647,-5.978642,-1.403546
