dial_band,s4_pos,s5_pos,pto_mhz,crystal_mhz,wanted_mhz,frequency_hz,mixer_raw_vpp,filter_output_vpp,vfo_out_vpp
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,524999.999999,5.304618401986e-07,1.421106297023e-08,5.198879062758e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,549999.999999,1.008204037491e-09,6.707197925871e-11,2.074245769767e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,574999.999999,8.930918882727e-10,5.525043619234e-11,2.097706566878e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,599999.999999,8.000830190741e-10,4.552139477042e-11,2.131312940661e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,624999.999999,7.258528154630e-10,3.775833723035e-11,2.174803418658e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,649999.999999,6.678986462933e-10,3.188530236371e-11,2.224483007816e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,674999.999999,6.241625655955e-10,2.809133458665e-11,2.281274120779e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,699999.999998,5.924619701326e-10,2.678208144908e-11,2.325771789889e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,724999.999998,1.721523073296e-06,1.006017403135e-07,8.809793171005e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,749999.999998,3.443972993342e-06,2.012649220675e-07,1.761578321397e-08
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,774999.999998,1.721629330364e-06,1.006015634241e-07,8.794418794285e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,799999.999998,5.540574718236e-10,3.187570338844e-11,2.495523132353e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,824999.999998,5.386144068575e-10,3.380252556934e-11,2.737650427011e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,849999.999998,5.370193349489e-10,3.666400471429e-11,2.858595318766e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,874999.999998,5.433810734129e-10,3.997388453339e-11,2.973887355037e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,899999.999998,5.544413128121e-10,4.350689183450e-11,3.092316339304e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,924999.999998,5.689221551795e-10,4.717038438140e-11,3.216408700530e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,949999.999998,5.858046284103e-10,5.094024274742e-11,3.339876680802e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,974999.999998,2.771868796105e-08,1.484254975380e-09,8.799198017745e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,999999.999998,5.714272142125e-08,3.124760384275e-09,1.757638015862e-08
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1024999.999998,2.766573349457e-08,1.475669126536e-09,8.799192343630e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1049999.999998,6.786034465515e-10,6.718994402019e-11,3.958290068394e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1074999.999998,7.066308056685e-10,7.159915839979e-11,4.154470625620e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1099999.999998,7.367868485739e-10,7.617426177329e-11,4.350392902485e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1124999.999998,7.692273496749e-10,8.095052435304e-11,4.558386572579e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1149999.999997,8.039997056706e-10,8.593960594960e-11,4.778930360688e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1174999.999997,8.412137088021e-10,9.119203579011e-11,5.016878919345e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1199999.999997,8.806162335641e-10,9.669641439110e-11,5.273868456622e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1224999.999997,8.533256694204e-08,5.529318756975e-09,1.022904128286e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1249999.999997,1.686471456662e-07,1.080438866309e-08,1.905077462432e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1274999.999997,8.542206328057e-08,5.541365909508e-09,1.027193970382e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1299999.999997,1.074247490004e-09,1.225961473412e-10,6.492546346441e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1324999.999997,1.133497757937e-09,1.302843119514e-10,6.860092822278e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1349999.999997,1.197069311205e-09,1.384856456252e-10,7.259381044485e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1374999.999997,1.265888478628e-09,1.473119991856e-10,7.695267021353e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1399999.999997,1.340729106753e-09,1.568461220951e-10,8.173854379888e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1424999.999997,1.422357200599e-09,1.670567280463e-10,8.706319298708e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1449999.999997,1.514105643859e-09,1.778376375858e-10,9.360865820313e-11
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1474999.999997,2.244102016656e-07,3.703522071940e-08,2.806146695440e-08
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1499999.999997,4.501254255201e-07,7.362497220393e-08,5.641660776522e-08
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1524999.999997,2.244033572758e-07,3.705719840914e-08,2.804522132851e-08
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1549999.999997,1.976277024030e-09,2.358078672701e-10,1.218024162238e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1574999.999997,2.118247625802e-09,2.545968773790e-10,1.305211132664e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1599999.999996,2.281241252181e-09,2.751965383224e-10,1.406613619390e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1624999.999996,2.465171092402e-09,2.982468016294e-10,1.521760360655e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1649999.999996,2.672926725482e-09,3.241311470190e-10,1.651937121365e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1674999.999996,2.908662579059e-09,3.534170434441e-10,1.800349236542e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1699999.999996,3.178147218303e-09,3.867426032016e-10,1.972753432696e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1724999.999996,7.209543745160e-08,6.701200174992e-09,1.987448696505e-08
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1749999.999996,1.545228581651e-07,1.407884463487e-08,4.040734057086e-08
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1774999.999996,7.136154859356e-08,6.659736312327e-09,1.982615919407e-08
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1799999.999996,4.736938256598e-09,5.795194079324e-10,2.943009564982e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1824999.999996,5.307225245224e-09,6.500524937679e-10,3.296958710904e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1849999.999996,5.989343709288e-09,7.341544151256e-10,3.721403001307e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1874999.999996,6.813466661664e-09,8.357756465611e-10,4.235052540446e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1899999.999996,7.821642746620e-09,9.599341623732e-10,4.863130049636e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1924999.999996,9.073277048001e-09,1.113978733806e-09,5.642742363868e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1949999.999996,1.065515630567e-08,1.308515215311e-09,6.628209544177e-10
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1974999.999996,2.150139950128e-07,1.917921084398e-08,7.040107231331e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,1999999.999996,4.445584165598e-07,3.846138230219e-08,1.636191218343e-08
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,2024999.999996,2.131177080576e-07,1.923662811918e-08,6.697910042355e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,2049999.999996,2.412729900988e-08,2.965261082655e-09,1.501670365487e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,2074999.999995,3.164398328535e-08,3.889555137985e-09,1.969470086930e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,2099999.999995,4.336660365891e-08,5.330602175425e-09,2.699102277043e-09
3.5-4.0 MHz,1,,5.250000,7.500000,12.750000,2124999.999995,6.318846520451e-08,7.767002632069e-09,3.932815907708e-09
