r89_2_position,r89_2_wiper_percent,crystal_frequency_mhz,pto_enabled,out_crystal_mvpp,filter_output_crystal_mvpp,mixer_differential_crystal_mvpp,pin6_crystal_mvpp,pin12_crystal_mvpp,out_total_mvpp,pin1_mean_v,pin4_mean_v,signal_input_dc_difference_v
0,0,13.99,0,670.396029,1346.36294,3697.10047,3645.14455,402.607578,668.352413,8.72599557,6.82557992,1.90041565
0.05,5,13.99,0,670.424489,1346.42027,3697.29275,3645.30878,402.683355,668.380365,8.58081195,6.8256137,1.75519824
0.1,10,13.99,0,670.447216,1346.46587,3697.4514,3645.44077,402.753083,668.402683,8.43600022,6.82564764,1.61035258
0.15,15,13.99,0,670.46436,1346.50008,3697.57817,3645.54147,402.81715,668.419535,8.29155557,6.82568173,1.46587385
0.2,20,13.99,0,670.476156,1346.52334,3697.67524,3645.61213,402.876078,668.431139,8.14747132,6.82571597,1.32175535
0.25,25,13.99,0,670.482432,1346.53526,3697.74294,3645.65171,402.930323,668.437301,8.00374093,6.82575038,1.17799055
0.3,30,13.99,0,670.485876,1346.54058,3697.79572,3645.6731,402.981982,668.440272,7.86035828,6.82578498,1.03457331
0.35,35,13.99,0,670.30093,1346.15982,3696.77602,3644.64939,402.925612,668.256896,7.71737826,6.82581684,0.891561422
0.4,40,13.99,0,651.649133,1307.92782,3591.80036,3541.16299,391.59408,649.880342,7.58101945,6.82552271,0.755496739
0.45,45,13.99,0,572.208553,1146.12702,3147.58878,3103.16679,343.421166,571.249973,7.46669291,6.82367935,0.643013564
0.5,50,13.99,0,474.581761,948.916074,2606.34073,2569.2958,284.770239,474.1816,7.35873853,6.82046992,0.538268615
0.55,55,13.99,0,375.484849,749.846702,2060.01681,2030.3757,225.521748,375.37114,7.25144284,6.81601611,0.435426724
0.6,60,13.99,0,281.030881,560.750432,1541.08047,1518.43965,169.217288,281.037018,7.14345448,6.81032505,0.333129427
0.65,65,13.99,0,190.750919,380.406456,1046.17077,1030.19165,115.503535,190.829704,7.03421601,6.80339307,0.230822944
0.7,70,13.99,0,103.353644,206.048564,567.680321,558.141022,63.5578108,103.394447,6.92340478,6.79519972,0.128205055
0.705,70.5,13.99,0,94.7446674,188.881621,520.567033,511.663556,58.4416638,94.7777669,6.91222793,6.79431016,0.117917769
0.71,71,13.99,0,86.2366503,171.916971,474.010239,465.733939,53.3871968,86.2708243,6.9010329,6.7934079,0.107624997
0.715,71.5,13.99,0,77.8133058,155.122033,427.920555,420.263949,48.384798,77.8485206,6.88981948,6.79249291,0.0973265703
0.72,72,13.99,0,69.5003754,138.548027,382.439731,375.39236,43.4510247,69.53573,6.87858751,6.79156522,0.0870222858
0.725,72.5,13.99,0,61.2128551,122.025248,337.100149,330.658856,38.533585,61.2500996,6.8673368,6.79062481,0.0767119837
0.73,73,13.99,0,52.7236476,105.101206,290.650642,284.838356,33.488589,52.7510327,6.85606716,6.78967166,0.0663955082
0.735,73.5,13.99,0,44.4727791,88.6528266,245.515254,240.306727,28.5945016,44.4992432,6.84477844,6.78870575,0.056072691
0.74,74,13.99,0,36.2018912,72.1649378,200.270163,195.667443,23.6885105,36.2263178,6.83347046,6.78772711,0.0457433523
0.745,74.5,13.99,0,27.9965167,55.8080179,155.389018,151.382845,18.8277357,28.0218374,6.82214305,6.78673571,0.0354073393
0.75,75,13.99,0,19.735607,39.3406441,110.201416,106.797597,13.933793,19.7546139,6.81079604,6.78573154,0.0250644994
0.755,75.5,13.99,0,11.5807078,23.0848497,65.6147072,62.7847259,9.12853488,11.5999485,6.79942928,6.78471462,0.014714665
0.76,76,13.99,0,3.44307097,6.86373092,21.2109145,18.8525567,4.40649685,3.46861799,6.78804261,6.78368493,0.00435768318
0.765,76.5,13.99,0,4.69013898,9.34909216,23.6228561,25.0053864,1.53707404,4.72022172,6.77663586,6.78264248,-0.00600661458
0.77,77,13.99,0,12.7466907,25.4086353,67.5889012,68.494288,5.60437231,12.7657603,6.76520889,6.78158725,-0.0163783593
0.775,77.5,13.99,0,20.7716746,41.4054168,111.469292,111.80592,10.291284,20.7917107,6.75376154,6.78051926,-0.0267577266
0.78,78,13.99,0,28.8397908,57.4884162,155.593118,155.349087,15.0490326,28.8538074,6.74229365,6.7794385,-0.0371448522
0.785,78.5,13.99,0,36.73923,73.2353805,198.809606,197.983331,19.730862,36.7568594,6.73080509,6.77834499,-0.0475399002
0.79,79,13.99,0,44.6573533,89.0199034,242.127061,240.718486,24.425768,44.6762478,6.71929569,6.77723871,-0.0579430155
0.795,79.5,13.99,0,52.6344834,104.922415,285.765489,283.772323,29.1549667,52.6570947,6.70776533,6.77611969,-0.0683543617
0.8,80,13.99,0,60.653995,120.909872,329.63603,327.055884,33.9093695,60.6750631,6.69621384,6.77498791,-0.0787740721
0.85,85,13.99,0,137.308669,273.76545,749.159945,740.89593,79.4462224,137.333081,6.57950654,6.76297243,-0.183465893
0.9,90,13.99,0,210.616826,420.049939,1150.67357,1136.94259,123.027266,210.638509,6.46053461,6.74970213,-0.289167528
0.95,95,13.99,0,280.472712,559.603349,1533.74282,1514.76285,164.597362,280.454991,6.33916076,6.73525705,-0.396096289
1,100,13.99,0,345.818308,690.339903,1892.65176,1868.70635,203.542396,345.720734,6.21521597,6.71980671,-0.504590744
