time_s,u89_1_output_diff_v,q89_1_gate_v,q89_1_source_v,q89_2_emitter_v,vfo_out_v
6.000197956430e-05,2.153227288986e-02,6.692143788134e+00,7.599531625494e+00,6.871851582392e+00,1.224622047061e-02
6.000397956430e-05,1.105752153837e-02,6.685571637017e+00,7.594426434616e+00,6.866962961995e+00,9.044141820290e-03
6.000597956430e-05,5.560980261006e-04,6.678575337893e+00,7.588919118681e+00,6.861686036673e+00,5.598550452624e-03
6.000797956430e-05,-9.721890880490e-03,6.671329371205e+00,7.583146800993e+00,6.856152464410e+00,1.995459360154e-03
6.000997956430e-05,-1.953221506677e-02,6.664014905823e+00,7.577253593556e+00,6.850500567937e+00,-1.675019440394e-03
6.001197956430e-05,-2.864245940084e-02,6.656815181644e+00,7.571386930102e+00,6.844871815428e+00,-5.320967839295e-03
6.001397956430e-05,-3.683778792058e-02,6.649910828268e+00,7.565693813299e+00,6.839407188525e+00,-8.851021685805e-03
6.001597956430e-05,-4.392636052070e-02,6.643475237474e+00,7.560317056610e+00,6.834243599727e+00,-1.217669270512e-02
6.001797956430e-05,-4.974429011937e-02,6.637670115119e+00,7.555391634965e+00,6.829510388559e+00,-1.521463329959e-02
6.001997956430e-05,-5.415994947179e-02,6.632641324214e+00,7.551041222693e+00,6.825326049032e+00,-1.788874548788e-02
6.002197956430e-05,-5.707750661164e-02,6.628515131814e+00,7.547375023875e+00,6.821795209879e+00,-2.013212043610e-02
6.002397956430e-05,-5.843951313258e-02,6.625394953020e+00,7.544484961464e+00,6.819006001049e+00,-2.188872247818e-02
6.002597956430e-05,-5.822845987545e-02,6.623358680589e+00,7.542443312352e+00,6.817027811985e+00,-2.311481467881e-02
6.002797956430e-05,-5.646718935003e-02,6.622456665328e+00,7.541300834769e+00,6.815909550550e+00,-2.378005603866e-02
6.002997956430e-05,-5.321816298238e-02,6.622710403685e+00,7.541085450576e+00,6.815678388237e+00,-2.386828047977e-02
6.003197956430e-05,-4.859313413301e-02,6.624111969237e+00,7.541801474092e+00,6.816339036684e+00,-2.337792926769e-02
6.003397956430e-05,-4.266628195735e-02,6.626624158284e+00,7.543429667842e+00,6.817873765808e+00,-2.232200135564e-02
6.003597956430e-05,-3.566262659514e-02,6.630181481719e+00,7.545927873334e+00,6.820243063717e+00,-2.072758766280e-02
6.003797956430e-05,-2.780957060999e-02,6.634691879720e+00,7.549231460397e+00,6.823385941881e+00,-1.863563661548e-02
6.003997956430e-05,-1.926318620835e-02,6.640038935593e+00,7.553255080167e+00,6.827221975775e+00,-1.609959482511e-02
6.004197956430e-05,-1.027554665855e-02,6.646084572983e+00,7.557889809707e+00,6.831646806509e+00,-1.318829189851e-02
6.004397956430e-05,-1.056961734070e-03,6.652673796101e+00,7.563022199974e+00,6.836553104392e+00,-9.972305484487e-03
6.004597956430e-05,8.143485556760e-03,6.659637476289e+00,7.568521105954e+00,6.841815715055e+00,-6.533589605781e-03
6.004797956430e-05,1.708040731317e-02,6.666796850013e+00,7.574242661793e+00,6.847297157502e+00,-2.961879615024e-03
6.004997956430e-05,2.553065062113e-02,6.673968760947e+00,7.580041915012e+00,6.852858668276e+00,6.524902237782e-04
6.005197956430e-05,3.327822877782e-02,6.680969838066e+00,7.585769085371e+00,6.858356572722e+00,4.216235026454e-03
6.005397956430e-05,4.012904893532e-02,6.687621687685e+00,7.591279026066e+00,6.863651414955e+00,7.639047797045e-03
6.005597956430e-05,4.591250662466e-02,6.693755192017e+00,7.596430595151e+00,6.868607294277e+00,1.083316137119e-02
6.005797956430e-05,5.048529206810e-02,6.699215158635e+00,7.601093750061e+00,6.873098812482e+00,1.371784720748e-02
6.005997956430e-05,5.373499639497e-02,6.703864142138e+00,7.605150256633e+00,6.877011683015e+00,1.621979217751e-02
6.006197956430e-05,5.558234472907e-02,6.707586147954e+00,7.608498831220e+00,6.880247852575e+00,1.827640073200e-02
6.006397956430e-05,5.598266242044e-02,6.710289491919e+00,7.611056134112e+00,6.882726372657e+00,1.983633230070e-02
6.006597956430e-05,5.492732337850e-02,6.711909220379e+00,7.612760156296e+00,6.884386851205e+00,2.086171052293e-02
6.006797956430e-05,5.244325557800e-02,6.712408658233e+00,7.613570803475e+00,6.885189913724e+00,2.132838735639e-02
6.006997956430e-05,4.859309126204e-02,6.711780325139e+00,7.613471624867e+00,6.885119053321e+00,2.122710723151e-02
6.007197956430e-05,4.347311688781e-02,6.710045986403e+00,7.612469573302e+00,6.884180277091e+00,2.056323910011e-02
6.007397956430e-05,3.721187701250e-02,6.707255998598e+00,7.610595177853e+00,6.882402437450e+00,1.935695336900e-02
