time_s,u89_1_pin1_v,u89_1_pin4_v,u89_1_signal_diff_v,u89_1_pin8_v,u89_1_pin10_v,u89_1_carrier_diff_v,u89_1_pin6_v,u89_1_pin12_v,u89_1_output_diff_v
6.000197956430e-05,6.768372056826e+00,6.783153376524e+00,-1.478131969781e-02,1.002238537904e+01,1.001869219209e+01,3.693186947080e-03,1.277898663376e+01,1.275745436087e+01,2.153227288986e-02
6.000397956430e-05,6.776752726637e+00,6.783155209350e+00,-6.402482712409e-03,1.002016893687e+01,1.001868110592e+01,1.487830950971e-03,1.276917391961e+01,1.275811639807e+01,1.105752153837e-02
6.000597956430e-05,6.785179009803e+00,6.783156474206e+00,2.022535596872e-03,1.001796479284e+01,1.001866008074e+01,-6.952879002604e-04,1.275909326873e+01,1.275853717070e+01,5.560980261006e-04
6.000797956430e-05,6.793614026023e+00,6.783157169902e+00,1.045685612017e-02,1.001579297984e+01,1.001862932114e+01,-2.836341303741e-03,1.274898720082e+01,1.275870909170e+01,-9.721890880490e-03
6.000997956430e-05,6.802020868419e+00,6.783157302003e+00,1.886356641597e-02,1.001367315277e+01,1.001858912085e+01,-4.915968077249e-03,1.273909849396e+01,1.275863070903e+01,-1.953221506677e-02
6.001197956430e-05,6.810362752598e+00,6.783156882703e+00,2.720586989548e-02,1.001162439231e+01,1.001853985908e+01,-6.915466761990e-03,1.272966431133e+01,1.275830677073e+01,-2.864245940084e-02
6.001397956430e-05,6.818603193842e+00,6.783155930629e+00,3.544726321350e-02,1.000966503669e+01,1.001848199617e+01,-8.816959484600e-03,1.272091044820e+01,1.275774823612e+01,-3.683778792058e-02
6.001597956430e-05,6.826706155920e+00,6.783154470582e+00,4.355168533701e-02,1.000781249641e+01,1.001841606838e+01,-1.060357196896e-02,1.271304581580e+01,1.275697217632e+01,-4.392636052070e-02
6.001797956430e-05,6.834636223177e+00,6.783152533211e+00,5.148368996593e-02,1.000608309869e+01,1.001834268196e+01,-1.225958326648e-02,1.270625728534e+01,1.275600157546e+01,-4.974429011937e-02
6.001997956430e-05,6.842358746049e+00,6.783150154618e+00,5.920859143062e-02,1.000449192150e+01,1.001826250672e+01,-1.377058521142e-02,1.270070501549e+01,1.275486496496e+01,-5.415994947179e-02
6.002197956430e-05,6.849840005347e+00,6.783147375921e+00,6.669262942674e-02,1.000305266072e+01,1.001817626902e+01,-1.512360830624e-02,1.269651839115e+01,1.275359589776e+01,-5.707750661164e-02
6.002397956430e-05,6.857047351476e+00,6.783144242749e+00,7.390310872641e-02,1.000177749483e+01,1.001808474444e+01,-1.630724961551e-02,1.269379269533e+01,1.275223220846e+01,-5.843951313258e-02
6.002597956430e-05,6.863949358228e+00,6.783140804705e+00,8.080855352268e-02,1.000067698746e+01,1.001798875008e+01,-1.731176262104e-02,1.269258662898e+01,1.275081508886e+01,-5.822845987545e-02
6.002797956430e-05,6.870515952765e+00,6.783137114780e+00,8.737883798417e-02,9.999759995416e+00,1.001788913676e+01,-1.812914134841e-02,1.269292077367e+01,1.274938796302e+01,-5.646718935003e-02
6.002997956430e-05,6.876718556292e+00,6.783133228746e+00,9.358532754604e-02,9.999033618277e+00,1.001778678114e+01,-1.875316286338e-02,1.269477706792e+01,1.274799523090e+01,-5.321816298238e-02
6.003197956430e-05,6.882530163371e+00,6.783129204598e+00,9.940095877284e-02,9.998503625472e+00,1.001768257745e+01,-1.917895198170e-02,1.269809715442e+01,1.274669028855e+01,-4.859313413301e-02
6.003397956430e-05,6.887931376922e+00,6.783125113448e+00,1.048062634747e-01,9.998175952430e+00,1.001757745270e+01,-1.940150026751e-02,1.270278958057e+01,1.274545586253e+01,-4.266628195735e-02
6.003597956430e-05,6.892884941984e+00,6.783121009161e+00,1.097639328228e-01,9.998044782698e+00,1.001747230627e+01,-1.942752357204e-02,1.270873335331e+01,1.274439597991e+01,-3.566262659514e-02
6.003797956430e-05,6.897379094372e+00,6.783116940671e+00,1.142621537011e-01,9.998114931463e+00,1.001736801111e+01,-1.925307964422e-02,1.271576976913e+01,1.274357933974e+01,-2.780957060999e-02
6.003997956430e-05,6.901393126239e+00,6.783112973938e+00,1.182801523013e-01,9.998385561096e+00,1.001726546684e+01,-1.887990574249e-02,1.272370974745e+01,1.274297293366e+01,-1.926318620835e-02
6.004197956430e-05,6.904905731122e+00,6.783109160672e+00,1.217965704500e-01,9.998851265985e+00,1.001716554371e+01,-1.831427772130e-02,1.273235042025e+01,1.274262596691e+01,-1.027554665855e-02
6.004397956430e-05,6.907910591646e+00,6.783105562766e+00,1.248050288804e-01,9.999509422410e+00,1.001706908652e+01,-1.755966411262e-02,1.274147243320e+01,1.274252939493e+01,-1.056961734070e-03
6.004597956430e-05,6.910387964024e+00,6.783102242037e+00,1.272857219867e-01,1.000035307665e+01,1.001697692046e+01,-1.662384381730e-02,1.275084386356e+01,1.274270037801e+01,8.143485556760e-03
6.004797956430e-05,6.912329602997e+00,6.783099248449e+00,1.292303545471e-01,1.000137413230e+01,1.001688982337e+01,-1.551569107186e-02,1.276023165187e+01,1.274315124455e+01,1.708040731317e-02
6.004997956430e-05,6.913726611239e+00,6.783096633353e+00,1.306299778867e-01,1.000256404596e+01,1.001680852858e+01,-1.424448262692e-02,1.276940369699e+01,1.274387304637e+01,2.553065062113e-02
6.005197956430e-05,6.914573277998e+00,6.783094442995e+00,1.314788350033e-01,1.000391300363e+01,1.001673372488e+01,-1.282072124457e-02,1.277813537110e+01,1.274485714232e+01,3.327822877782e-02
6.005397956430e-05,6.914866232160e+00,6.783092720262e+00,1.317735118976e-01,1.000540950969e+01,1.001666604611e+01,-1.125653642207e-02,1.278621535220e+01,1.274608630326e+01,4.012904893532e-02
6.005597956430e-05,6.914604406195e+00,6.783091503733e+00,1.315129024626e-01,1.000704202836e+01,1.001660606968e+01,-9.564041324939e-03,1.279345038873e+01,1.274753788210e+01,4.591250662466e-02
6.005797956430e-05,6.913789173532e+00,6.783090827257e+00,1.306983462749e-01,1.000879691914e+01,1.001655431097e+01,-7.757391828799e-03,1.279966994805e+01,1.274918465598e+01,5.048529206810e-02
6.005997956430e-05,6.912424395109e+00,6.783090719851e+00,1.293336752579e-01,1.001066076112e+01,1.001651121920e+01,-5.850458078980e-03,1.280473005658e+01,1.275099506018e+01,5.373499639497e-02
6.006197956430e-05,6.910516080462e+00,6.783091205113e+00,1.274248753488e-01,1.001261821516e+01,1.001647717420e+01,-3.858959039020e-03,1.280851645224e+01,1.275293410751e+01,5.558234472907e-02
