trace,mean_v,minimum_v,maximum_v,peak_to_peak_v,dominant_frequency_hz,component_2.25mhz_vpp,component_5.25mhz_vpp,component_7.5mhz_vpp,component_12.75mhz_vpp
pto_emitter_v,1.6999995103719476,1.400000068162442,1.999999931837529,0.599999863675087,5249737.513112833,1.9583204355397362e-06,0.5999999999999996,1.95836131415542e-06,1.9584461486022534e-06
crystal_q89_3_drain_v,7.744778808784965,7.742017280589295,7.747588980160948,0.00557169957165371,7499625.018732619,2.097939089247529e-06,7.575498280821965e-07,0.005557396366243375,6.504599511085788e-07
u89_1_pin1_v,6.787216149807024,6.659375419694097,6.914867084712115,0.2554916650180177,5249737.513112833,2.480746723781994e-05,0.2552959477927164,4.365470808401273e-05,1.3487083771736018e-05
u89_1_pin4_v,6.783145997120302,6.782941030756546,6.783341226276571,0.00040019552002501513,7499625.018732619,6.6934227813603936e-06,0.0001793814597817073,0.0002103364941931809,3.960542510357234e-07
u89_1_pin8_v,10.02136911796978,9.998038827016016,10.04533288561558,0.04729405859956337,7499625.018732619,0.00047407312278183704,0.0001693625875712579,0.04660481992538745,0.00018726685439223248
u89_1_pin10_v,10.01758857791557,10.01642420093724,10.01874953428767,0.0023253333504289486,7499625.018732619,7.518011592148761e-05,1.1855751221988831e-05,0.0022372002587082444,1.3007246298696174e-06
u89_1_pin6_v,12.761558532955407,12.68658356954794,12.83893697208228,0.15235340253433982,12749362.53184545,0.015877852946592108,0.01615485516954422,0.009117639230283992,0.11072969632032251
u89_1_pin12_v,12.76220244121532,12.73705780765227,12.79321519044901,0.056157382796738986,2249887.5056197853,0.02616247563391114,0.008661165769472194,0.004922865582179657,0.02181319134656762
q89_1_gate_v,6.669880013594149,6.620821817179239,6.717750731599409,0.09692891442016993,12749362.53184545,0.0037353253002763423,0.004193429273933608,0.0026981315425464916,0.08453961603188179
q89_1_source_v,7.5793545266294515,7.539757096052679,7.617993163826863,0.07823606777418401,12749362.53184545,0.0030488098627551043,0.003402922858839978,0.002188114422033279,0.06818341814839317
q89_2_emitter_v,6.852366754897538,6.814411053854347,6.889453371813085,0.07504231795873739,12749362.53184545,0.0029246791841353523,0.0032646257970030193,0.002099604275112162,0.06539989904239508
vfo_out_v,8.309769645833237e-07,-0.02466829957996405,0.02408252550277171,0.04875082508273576,12749362.53184545,0.0018908732702782986,0.0021182530711768197,0.0013628569898459805,0.042461891529894
u89_1_signal_diff_v,0.004070152686721383,-0.12381709385635897,0.13178197361166966,0.25559906746802863,5249737.513112833,1.8652396268258052e-05,0.2552209562610604,0.0002530064088911115,1.3162692867090787e-05
u89_1_carrier_diff_v,0.003780540054211933,-0.019474991788563045,0.02764271158207876,0.047117703370641806,7499625.018732619,0.0004663293265802445,0.00016856514500059267,0.0464366628972598,0.00018598456327245257
u89_1_output_diff_v,-0.0006439082599132279,-0.07836308440154127,0.0779413517783496,0.15630443617989087,12749362.53184545,0.030397910606013837,0.017574671857491522,0.011155758443089268,0.11579549114202056
