time_s,pto_emitter_v,crystal_q89_3_drain_v
6.000197956430e-05,1.719575882822e+00,7.742093264406e+00
6.000397956430e-05,1.739268824618e+00,7.742163614221e+00
6.000597956430e-05,1.758790911014e+00,7.742255759538e+00
6.000797956430e-05,1.778057203031e+00,7.742368647385e+00
6.000997956430e-05,1.796983874630e+00,7.742501092838e+00
6.001197956430e-05,1.815488577431e+00,7.742651796852e+00
6.001397956430e-05,1.833490799008e+00,7.742819363424e+00
6.001597956430e-05,1.850912213187e+00,7.743002315663e+00
6.001797956430e-05,1.867677020839e+00,7.743199110385e+00
6.001997956430e-05,1.883712279676e+00,7.743408150916e+00
6.002197956430e-05,1.898948221617e+00,7.743627797866e+00
6.002397956430e-05,1.913318556342e+00,7.743856377755e+00
6.002597956430e-05,1.926760759715e+00,7.744092189477e+00
6.002797956430e-05,1.939216345824e+00,7.744333508704e+00
6.002997956430e-05,1.950631121447e+00,7.744578590494e+00
6.003197956430e-05,1.960955421842e+00,7.744825670591e+00
6.003397956430e-05,1.970144326834e+00,7.745072965654e+00
6.003597956430e-05,1.978157856258e+00,7.745318675517e+00
6.003797956430e-05,1.984961143914e+00,7.745560983200e+00
6.003997956430e-05,1.990524589259e+00,7.745798036654e+00
6.004197956430e-05,1.994823986206e+00,7.746027975580e+00
6.004397956430e-05,1.997840628434e+00,7.746248944836e+00
6.004597956430e-05,1.999561390783e+00,7.746459078587e+00
6.004797956430e-05,1.999978786359e+00,7.746656521282e+00
6.004997956430e-05,1.999090999108e+00,7.746839442826e+00
6.005197956430e-05,1.996901891719e+00,7.747006057318e+00
6.005397956430e-05,1.993420988817e+00,7.747154645155e+00
6.005597956430e-05,1.988663435522e+00,7.747283578021e+00
6.005797956430e-05,1.982649931553e+00,7.747391346108e+00
6.005997956430e-05,1.975406641168e+00,7.747476586700e+00
6.006197956430e-05,1.966965079322e+00,7.747538113144e+00
6.006397956430e-05,1.957361974551e+00,7.747574943095e+00
6.006597956430e-05,1.946639109169e+00,7.747586324968e+00
6.006797956430e-05,1.934843137472e+00,7.747571761491e+00
6.006997956430e-05,1.922025382757e+00,7.747531029429e+00
6.007197956430e-05,1.908241614010e+00,7.747464194636e+00
6.007397956430e-05,1.893551803267e+00,7.747371621807e+00
6.007597956430e-05,1.878019864676e+00,7.747253978502e+00
6.007797956430e-05,1.861713376415e+00,7.747112233256e+00
6.007997956430e-05,1.844703286661e+00,7.746947647764e+00
6.008197956430e-05,1.827063604905e+00,7.746761763383e+00
6.008397956430e-05,1.808871079940e+00,7.746556382322e+00
6.008597956430e-05,1.790204865932e+00,7.746333544082e+00
6.008797956430e-05,1.771146178033e+00,7.746095497775e+00
6.008997956430e-05,1.751777939012e+00,7.745844671073e+00
6.009197956430e-05,1.732184418471e+00,7.745583636534e+00
6.009397956430e-05,1.712450866194e+00,7.745315076109e+00
6.009597956430e-05,1.692663141231e+00,7.745041744590e+00
6.009797956430e-05,1.672907338332e+00,7.744766432747e+00
6.009997956430e-05,1.653269413358e+00,7.744491930826e+00
6.010197956430e-05,1.633834809291e+00,7.744220993073e+00
6.010397956430e-05,1.614688084483e+00,7.743956303814e+00
6.010597956430e-05,1.595912544746e+00,7.743700445614e+00
6.010797956430e-05,1.577589880896e+00,7.743455869928e+00
6.010997956430e-05,1.559799813325e+00,7.743224870616e+00
