test_point,s5_pos,pto_mhz,crystal_mhz,wanted_mhz,r2_position,r27_position,t1_l_uh,t1_k,pto_enabled,wanted_mvpp,crystal_mvpp,wanted_to_crystal_ratio,total_mvpp,dominant_mhz
19p25,1,5.26,13.99,19.25,0.05,0.5,5.3,0.08,0,0.1508325989530308,124.15160691562616,0.0012149065380646835,124.1943778274044,13.999999999999998
19p25,1,5.26,13.99,19.25,0.15,0.5,5.3,0.08,0,0.15109848949558613,124.1574844640072,0.0012169905837564633,124.20035262880647,13.999999999999998
19p25,1,5.26,13.99,19.25,0.25,0.5,5.3,0.08,0,0.15084241800247197,124.1597111516682,0.0012149063218922064,124.20254032393724,13.999999999999998
19p25,1,5.26,13.99,19.25,0.35,0.5,5.3,0.08,0,0.15053550319976233,124.11748211944135,0.0012128468981903635,124.16048950195868,13.999999999999998
19p25,1,5.26,13.99,19.25,0.44999999999999996,0.5,5.3,0.08,0,0.12697429453222497,105.06381542487024,0.0012085444833575705,105.07514219840222,13.999999999999998
19p25,1,5.26,13.99,19.25,0.5499999999999999,0.5,5.3,0.08,0,0.08319298992751883,68.78370349664533,0.0012094869234771034,68.7833154408256,13.999999999999998
19p25,1,5.26,13.99,19.25,0.65,0.5,5.3,0.08,0,0.04162027728790216,34.705959830593166,0.001199225651474824,34.711595217968714,13.999999999999998
19p25,1,5.26,13.99,19.25,0.75,0.5,5.3,0.08,0,0.004307974293107249,3.55126307549114,0.0012130822756665123,3.5524859630388033,13.999999999999998
19p25,1,5.26,13.99,19.25,0.85,0.5,5.3,0.08,0,0.03030073396481153,25.206825475526916,0.0012020844907356639,25.21070730578085,13.999999999999998
19p25,1,5.26,13.99,19.25,0.95,0.5,5.3,0.08,0,0.06302079024306718,51.506330098295464,0.0012235542723156036,51.51525291971185,13.999999999999998
19p25,1,5.26,13.99,19.25,0.67,0.5,5.3,0.08,0,0.033851330298540705,28.28929797648543,0.0011966125962785835,28.294255754596197,13.999999999999998
19p25,1,5.26,13.99,19.25,0.68,0.5,5.3,0.08,0,0.030049683651832457,25.15424772906322,0.0011946166697369787,25.16018685383469,13.999999999999998
19p25,1,5.26,13.99,19.25,0.69,0.5,5.3,0.08,0,0.026501875238106456,21.945690422508516,0.0012076118239107625,21.94725271445011,13.999999999999998
19p25,1,5.26,13.99,19.25,0.7,0.5,5.3,0.08,0,0.02260048614121042,18.793945142421464,0.0012025408167334107,18.795441416221557,13.999999999999998
19p25,1,5.26,13.99,19.25,0.71,0.5,5.3,0.08,0,0.018786254166105215,15.723479863480918,0.0011947898511790538,15.727204089997393,13.999999999999998
19p25,1,5.26,13.99,19.25,0.72,0.5,5.3,0.08,0,0.015355103731318882,12.661071359645028,0.0012127807588432535,12.665003038278574,13.999999999999998
19p25,1,5.26,13.99,19.25,0.73,0.5,5.3,0.08,0,0.011573279650838939,9.581701057447694,0.0012078522990281797,9.583712485528094,13.999999999999998
19p25,1,5.26,13.99,19.25,0.74,0.5,5.3,0.08,0,0.00789953989668996,6.547226973953516,0.0012065474326942197,6.548130544239219,13.999999999999998
19p25,1,5.26,13.99,19.25,0.75,0.5,5.3,0.08,0,0.004307974293107249,3.55126307549114,0.0012130822756665123,3.5524859630388033,13.999999999999998
19p25,1,5.26,13.99,19.25,0.76,0.5,5.3,0.08,0,0.0006969850737656419,0.5773814184318015,0.0012071484317224658,0.5804877003639098,13.999999999999998
19p25,1,5.26,13.99,19.25,0.77,0.5,5.3,0.08,0,0.0028863004104529013,2.3830026233135846,0.0012112032031418737,2.3840003847125995,13.999999999999998
19p25,1,5.26,13.99,19.25,0.78,0.5,5.3,0.08,0,0.006387916432000575,5.315456448267887,0.0012017625380191317,5.317222880914955,13.999999999999998
19p25,1,5.26,13.99,19.25,0.79,0.5,5.3,0.08,0,0.009924203731335736,8.214883211851943,0.0012080760584663806,8.215633823071498,13.999999999999998
19p25,1,5.26,13.99,19.25,0.8,0.5,5.3,0.08,0,0.013323391879147196,11.134603041921316,0.0011965753811775041,11.136309902398553,13.999999999999998
19p25,1,5.26,13.99,19.25,0.81,0.5,5.3,0.08,0,0.016785864986663318,13.963599163631208,0.0012021159294218946,13.966139932628069,13.999999999999998
19p25,1,5.26,13.99,19.25,0.82,0.5,5.3,0.08,0,0.020236586900941263,16.78825584236128,0.0012054013883847849,16.790348300470924,13.999999999999998
19p25,1,5.26,13.99,19.25,0.83,0.5,5.3,0.08,0,0.02375644138537304,19.62036209132431,0.0012108054517443187,19.621110640354694,13.999999999999998
