test_point,s5_pos,pto_mhz,crystal_mhz,wanted_mhz,r2_position,r27_position,t1_l_uh,t1_k,pto_enabled,wanted_mvpp,crystal_mvpp,wanted_to_crystal_ratio,total_mvpp,dominant_mhz
19p00,1,5.01,13.99,19.0,0.76,0.1,4.875,0.18,1,166.74218998614285,1.8874855241558823,88.3409106200764,177.9676752248839,18.999999999999996
19p25,1,5.26,13.99,19.25,0.76,0.1,4.875,0.18,1,125.72171597152155,2.1792391774637028,57.690646016121164,134.01449653828146,19.249999999999996
19p50,1,5.51,13.99,19.5,0.76,0.1,4.875,0.18,1,83.88719642991182,2.2583390064942725,37.14552872207346,89.6368302987539,19.499999999999996
19p50b,2,5.01,14.49,19.5,0.76,0.1,4.875,0.18,1,159.44335440688496,2.6182450155068033,60.89703349479007,172.21272686069244,19.499999999999996
19p75,2,5.26,14.49,19.75,0.76,0.1,4.875,0.18,1,122.58265725999527,2.816719821500365,43.51964875040355,131.9487966180744,19.749999999999996
20p00,2,5.51,14.49,20.0,0.76,0.1,4.875,0.18,1,84.19049854280664,2.8449762071441858,29.59268985497698,90.84853705877275,19.999999999999996
20p00b,3,5.01,14.99,20.0,0.76,0.1,4.875,0.18,1,159.92408603490045,3.5937260011770977,44.50091241862027,174.53878983411113,19.999999999999996
20p25,3,5.26,14.99,20.25,0.76,0.1,4.875,0.18,1,126.27758586322912,3.71054590350491,34.032077529063784,137.60043376551772,20.249999999999996
20p50,3,5.51,14.99,20.5,0.76,0.1,4.875,0.18,1,88.67105304420335,3.6672503257488462,24.179165633067843,96.5325468415109,20.499999999999996
20p50b,4,5.01,15.49,20.5,0.76,0.1,4.875,0.18,1,168.3657195013148,4.994671670039978,33.70906650606069,185.95122813187666,20.499999999999996
20p75,4,5.26,15.49,20.75,0.76,0.1,4.875,0.18,1,136.2471453766261,5.001571137116348,27.24086924717406,149.58830859204875,20.749999999999996
21p00,4,5.51,15.49,21.0,0.76,0.1,4.875,0.18,1,97.80784365319039,4.862986838208481,20.11270992648269,107.1650246104465,20.999999999999996
